"xm1","ym1","zm1"
925,8255,6
556,8318,6
362,8331,6
749,8340,6
105,8342,6
468,8357,6
552,8414,6
324,8461,6
359,8515,6
193,8521,6
300,8521,6
316,8571,6
1108,8579,6
190,8606,6
931,8643,6
1131,8643,6
666,8685,6
535,8689,6
1133,8719,6
1300,8739,6
897,8781,6
895,8817,6
975,8832,6
81,8851,6
403,8852,6
1061,8852,6
1316,8884,6
935,8930,6
1369,8962,6
786,8984,6
410,9080,6
333,9122,6
112,9124,6
571,9181,6
858,9244,6
1184,9261,6
1261,9267,6
453,9327,6
987,9428,6
131,9451,6
1343,9479,6
107,9532,6
196,9579,6
373,9763,6
498,9796,6
928,9822,6
522,9846,6
1091,9909,6
562,9958,6
757,10007,6
690,10074,6
1106,10097,6
679,10126,6
649,10135,6
280,10162,6
321,10195,6
171,10213,6
530,10231,6
895,10347,6
238,10405,6
395,10486,6
376,10499,6
305,10528,6
707,10542,6
838,10925,6
583,11031,6
572,11086,6
1096,11266,6
1074,11304,6
821,11427,6
62,11494,6
699,11578,6
762,11684,6
774,11685,6
517,11701,6
139,11800,6
1221,11829,6
103,11846,6
530,11954,6
1059,11954,6
494,11966,6
1267,12036,6
527,12094,6
703,12132,6
1087,12139,6
1266,12181,6
580,12230,6
660,12244,6
897,12254,6
53,12268,6
1105,12298,6
654,12307,6
807,12320,6
577,12342,6
1107,12351,6
66,12352,6
48,12354,6
445,12391,6
158,12404,6
1163,12485,6
832,12486,6
186,12502,6
987,12511,6
1160,12512,6
623,12525,6
1204,12548,6
513,12606,6
222,12609,6
497,12613,6
1097,12630,6
1220,12687,6
950,12715,6
526,12771,6
1254,12782,6
633,12862,6
1212,12873,6
221,12930,6
1025,12950,6
173,12953,6
1164,144,7
1172,147,7
1159,185,7
953,367,7
880,387,7
1031,469,7
898,474,7
927,500,7
1257,551,7
774,652,7
485,660,7
316,671,7
632,726,7
748,737,7
681,751,7
349,817,7
129,847,7
131,873,7
606,909,7
404,981,7
879,1017,7
1153,1025,7
912,1092,7
967,1092,7
717,1095,7
444,1118,7
248,1136,7
1405,1137,7
450,1183,7
1331,1190,7
546,1195,7
1273,1212,7
324,1231,7
294,1242,7
1171,1244,7
1073,1268,7
1137,1363,7
648,1391,7
597,1415,7
1294,1420,7
829,1485,7
731,1510,7
503,1532,7
1379,1536,7
933,1553,7
1203,1584,7
182,1588,7
1167,1625,7
805,1675,7
1102,1762,7
813,1775,7
1394,1777,7
518,1877,7
898,1948,7
561,1969,7
1101,2009,7
717,2037,7
201,2063,7
498,2078,7
633,2105,7
1255,2175,7
1245,2179,7
1132,2182,7
823,2198,7
294,2237,7
1187,2360,7
863,2371,7
1277,2371,7
1132,2389,7
1132,2401,7
1111,2488,7
896,2498,7
560,2539,7
273,2542,7
187,2544,7
507,2557,7
322,2559,7
938,2563,7
486,2571,7
1180,2718,7
1213,2762,7
1069,2765,7
1349,2773,7
1347,2809,7
448,2817,7
793,2820,7
340,2886,7
481,2911,7
1268,2972,7
903,2982,7
1054,3031,7
768,3040,7
1378,3073,7
1163,3078,7
1098,3117,7
1283,3128,7
358,3167,7
750,3190,7
159,3229,7
337,3319,7
290,3341,7
1003,3377,7
415,3390,7
133,3412,7
1417,3426,7
1397,3448,7
783,3451,7
941,3475,7
914,3602,7
157,3612,7
784,3616,7
974,3617,7
1048,3650,7
791,3656,7
616,3708,7
414,3738,7
1049,3787,7
713,3823,7
324,3836,7
765,3954,7
252,3955,7
868,3983,7
1186,3991,7
1023,4054,7
67,4063,7
1149,4084,7
1064,4105,7
507,4126,7
121,4193,7
419,4234,7
1174,4271,7
997,4308,7
841,4313,7
399,4353,7
1258,4364,7
1046,4397,7
724,4400,7
765,4417,7
1080,4442,7
1178,4455,7
447,4471,7
1043,4507,7
1325,4518,7
1383,4518,7
1399,4540,7
318,4546,7
602,4556,7
588,4575,7
74,4600,7
793,4613,7
1289,4634,7
686,4664,7
1055,4695,7
1086,4720,7
1268,4727,7
175,4775,7
688,4788,7
1094,4844,7
824,4881,7
1036,4916,7
159,4962,7
993,4973,7
221,4983,7
682,4991,7
194,4997,7
745,5059,7
797,5063,7
689,5069,7
1348,5073,7
995,5129,7
285,5133,7
422,5139,7
150,5146,7
581,5181,7
1376,5209,7
326,5273,7
385,5283,7
537,5290,7
1210,5357,7
535,5365,7
467,5385,7
156,5404,7
592,5411,7
287,5417,7
435,5434,7
909,5438,7
112,5571,7
540,5587,7
1045,5611,7
1342,5612,7
869,5641,7
453,5656,7
311,5672,7
670,5779,7
693,5783,7
587,5921,7
1109,5940,7
1208,5963,7
1325,5971,7
810,6000,7
1182,6001,7
497,6077,7
1240,6085,7
374,6106,7
547,6146,7
422,6191,7
771,6196,7
483,6245,7
199,6258,7
206,6288,7
264,6300,7
1334,6317,7
1337,6331,7
501,6347,7
1403,6379,7
312,6395,7
146,6450,7
823,6465,7
1035,6480,7
402,6490,7
1258,6527,7
758,6571,7
1355,6603,7
616,6625,7
227,6677,7
559,6713,7
717,6726,7
138,6753,7
382,6758,7
739,6783,7
1241,6783,7
1265,6793,7
521,6830,7
898,6883,7
596,6919,7
527,6985,7
1071,6989,7
220,7030,7
694,7060,7
962,7079,7
793,7090,7
288,7114,7
1078,7156,7
991,7182,7
528,7216,7
518,7225,7
597,7242,7
467,7254,7
1286,7366,7
1163,7377,7
997,7469,7
875,7509,7
850,7527,7
805,7612,7
981,7637,7
363,7671,7
924,7695,7
394,7734,7
1112,7748,7
60,7871,7
279,7934,7
1190,8030,7
1080,8199,7
597,8223,7
987,8281,7
162,8303,7
757,8335,7
257,8358,7
154,8446,7
735,8487,7
805,8512,7
278,8513,7
983,8535,7
1221,8546,7
771,8586,7
727,8623,7
1070,8636,7
900,8654,7
184,8660,7
353,8660,7
575,8673,7
462,8731,7
1327,8764,7
826,8776,7
1176,8785,7
658,8819,7
379,8830,7
891,8860,7
256,8864,7
1227,8905,7
940,8953,7
1106,8961,7
493,9015,7
611,9017,7
837,9149,7
328,9181,7
597,9234,7
1188,9245,7
801,9281,7
777,9312,7
411,9320,7
147,9332,7
551,9360,7
966,9373,7
544,9451,7
61,9488,7
161,9598,7
368,9600,7
341,9629,7
598,9707,7
947,9737,7
153,9748,7
354,9841,7
833,9884,7
175,10132,7
144,10178,7
868,10228,7
457,10255,7
812,10283,7
143,10338,7
513,10496,7
1161,10654,7
328,10685,7
736,10728,7
1168,10831,7
1064,10919,7
768,10972,7
1199,10998,7
84,11005,7
763,11100,7
343,11201,7
1146,11234,7
1045,11242,7
68,11617,7
658,11765,7
597,11787,7
614,11791,7
541,11828,7
1057,11977,7
88,12036,7
1249,12046,7
531,12077,7
649,12137,7
724,12214,7
825,12235,7
1052,12259,7
1092,12285,7
828,12336,7
1230,12351,7
148,12440,7
1241,12444,7
1155,12518,7
811,12629,7
1179,12640,7
655,12704,7
897,12712,7
1142,12731,7
1108,12841,7
1047,12849,7
70,12865,7
688,12953,7
934,12954,7
1318,86,8
1270,90,8
1143,264,8
1095,411,8
1182,418,8
1419,429,8
719,471,8
560,498,8
981,559,8
1161,642,8
293,672,8
568,716,8
1290,738,8
1215,766,8
234,795,8
1139,836,8
115,977,8
183,1026,8
914,1037,8
736,1071,8
755,1078,8
1301,1165,8
452,1172,8
980,1293,8
1194,1356,8
909,1451,8
263,1512,8
704,1512,8
586,1573,8
425,1577,8
430,1586,8
599,1586,8
868,1610,8
1016,1620,8
641,1627,8
1389,1642,8
846,1679,8
100,1712,8
1016,1757,8
791,1831,8
560,1884,8
870,1928,8
303,1971,8
1101,1973,8
1329,2054,8
1108,2073,8
563,2100,8
1016,2160,8
813,2165,8
674,2229,8
279,2267,8
788,2298,8
705,2384,8
96,2440,8
468,2468,8
908,2479,8
1050,2498,8
454,2552,8
398,2597,8
715,2635,8
193,2639,8
711,2711,8
1053,2749,8
1293,2825,8
436,2856,8
906,2879,8
516,2898,8
129,2983,8
276,3009,8
174,3045,8
250,3279,8
1051,3344,8
299,3452,8
382,3591,8
1407,3620,8
746,3634,8
1173,3680,8
1201,3681,8
912,3696,8
254,3699,8
373,3700,8
422,3700,8
390,3827,8
524,3837,8
781,3844,8
343,3869,8
1314,3910,8
583,3939,8
912,3942,8
685,3979,8
1131,4026,8
809,4100,8
629,4148,8
811,4338,8
1294,4355,8
111,4369,8
191,4409,8
203,4424,8
835,4556,8
1110,4588,8
331,4608,8
519,4612,8
1297,4660,8
556,4667,8
140,4738,8
858,4750,8
346,4849,8
1260,4849,8
1204,4854,8
897,4860,8
945,4873,8
799,4903,8
410,4913,8
960,4947,8
341,4971,8
484,5008,8
935,5035,8
388,5036,8
478,5067,8
406,5089,8
342,5097,8
788,5117,8
152,5124,8
304,5128,8
668,5129,8
993,5231,8
993,5237,8
656,5245,8
467,5250,8
437,5276,8
802,5308,8
1221,5319,8
907,5424,8
1280,5468,8
588,5479,8
795,5499,8
300,5606,8
108,5647,8
297,5659,8
786,5692,8
284,5706,8
102,5773,8
1106,5775,8
158,5801,8
583,5909,8
1186,5969,8
127,5988,8
644,6130,8
1009,6219,8
776,6243,8
542,6274,8
880,6305,8
103,6318,8
636,6328,8
392,6387,8
403,6406,8
262,6459,8
515,6467,8
647,6507,8
125,6510,8
1039,6552,8
428,6555,8
237,6567,8
1329,6582,8
947,6618,8
151,6623,8
465,6645,8
280,6647,8
971,6785,8
1342,6785,8
1067,6792,8
1069,6839,8
169,6916,8
403,6919,8
1185,6934,8
1075,6983,8
1301,7023,8
202,7036,8
229,7047,8
264,7124,8
433,7139,8
195,7214,8
603,7219,8
712,7255,8
626,7261,8
692,7302,8
753,7305,8
318,7318,8
835,7350,8
340,7427,8
193,7440,8
1294,7463,8
319,7546,8
426,7589,8
659,7634,8
517,7695,8
680,7710,8
1302,7767,8
224,7782,8
617,7975,8
536,7995,8
583,8006,8
891,8029,8
132,8062,8
392,8105,8
176,8176,8
415,8192,8
415,8205,8
380,8219,8
1173,8253,8
472,8366,8
860,8449,8
328,8478,8
264,8497,8
105,8502,8
686,8517,8
891,8535,8
214,8548,8
388,8564,8
630,8622,8
460,8639,8
727,8642,8
683,8660,8
1096,8670,8
268,8739,8
1076,8782,8
897,8808,8
347,8832,8
879,8842,8
1315,8890,8
1269,8940,8
361,8947,8
589,8952,8
454,9016,8
965,9033,8
813,9120,8
910,9271,8
355,9283,8
609,9387,8
1265,9441,8
1090,9476,8
631,9486,8
450,9518,8
301,9576,8
1004,9732,8
279,9748,8
439,9768,8
132,9794,8
498,9798,8
421,9801,8
954,9816,8
466,9829,8
407,9844,8
899,9845,8
795,9945,8
379,10022,8
483,10157,8
320,10281,8
1094,10331,8
494,10462,8
845,10588,8
818,10611,8
96,10619,8
466,10634,8
630,10753,8
1175,10757,8
670,10865,8
378,10895,8
450,11030,8
477,11154,8
924,11209,8
1079,11437,8
1018,11448,8
163,11798,8
1114,11801,8
697,11810,8
622,11862,8
60,11976,8
796,12005,8
1084,12037,8
1002,12046,8
632,12125,8
1101,12158,8
879,12256,8
800,12315,8
1231,12337,8
453,12341,8
192,12361,8
100,12403,8
608,12465,8
975,12500,8
40,12515,8
282,12620,8
627,12645,8
1099,12652,8
659,12715,8
112,12752,8
1218,12756,8
1095,12824,8
984,12852,8
467,12869,8
42,12877,8
988,12899,8
316,12923,8
505,12931,8
681,12951,8
1212,139,9
997,230,9
1206,258,9
1437,259,9
1096,332,9
911,355,9
1284,444,9
1075,503,9
950,532,9
1213,536,9
739,539,9
955,554,9
547,612,9
662,643,9
1442,649,9
739,676,9
700,686,9
227,696,9
383,765,9
171,823,9
291,836,9
932,843,9
574,921,9
1238,938,9
487,992,9
316,1001,9
1220,1017,9
591,1023,9
1453,1029,9
378,1030,9
1051,1076,9
1442,1097,9
381,1098,9
918,1112,9
896,1131,9
1134,1159,9
380,1182,9
557,1271,9
1046,1328,9
482,1342,9
1418,1367,9
1232,1431,9
1077,1432,9
871,1442,9
517,1486,9
1450,1506,9
290,1510,9
1433,1511,9
836,1513,9
788,1526,9
616,1540,9
748,1545,9
766,1619,9
833,1623,9
150,1695,9
468,1698,9
822,1699,9
834,1709,9
1075,1712,9
211,1716,9
151,1717,9
281,1747,9
396,1755,9
599,1815,9
885,1864,9
1372,1884,9
394,1908,9
496,1915,9
679,1921,9
700,1933,9
259,2000,9
1115,2184,9
268,2198,9
1300,2217,9
911,2239,9
346,2404,9
1097,2464,9
277,2480,9
896,2485,9
899,2515,9
981,2552,9
1202,2577,9
1045,2600,9
1451,2614,9
218,2642,9
1311,2693,9
107,2710,9
752,2764,9
1335,2765,9
1101,2779,9
1062,2829,9
1222,2829,9
601,2873,9
352,2877,9
500,2909,9
563,2930,9
159,2986,9
420,3055,9
730,3164,9
519,3178,9
321,3200,9
888,3221,9
997,3289,9
1419,3298,9
801,3301,9
1343,3326,9
654,3334,9
1271,3410,9
1079,3412,9
1066,3416,9
1328,3417,9
327,3465,9
751,3470,9
306,3559,9
291,3564,9
777,3580,9
1036,3639,9
466,3668,9
797,3729,9
441,3734,9
1165,3765,9
1148,3769,9
506,3775,9
611,3790,9
263,3828,9
658,3833,9
846,3849,9
246,3933,9
804,3963,9
602,3986,9
639,4052,9
583,4123,9
1361,4192,9
79,4245,9
1228,4355,9
1129,4358,9
629,4369,9
147,4396,9
712,4397,9
649,4506,9
1262,4540,9
1260,4568,9
1244,4569,9
1160,4615,9
1365,4666,9
613,4696,9
697,4698,9
198,4786,9
1282,4811,9
1354,4817,9
774,4821,9
171,4856,9
927,4889,9
803,4898,9
1045,4962,9
748,4967,9
993,4973,9
96,4981,9
437,5017,9
993,5024,9
573,5032,9
240,5038,9
1232,5038,9
245,5064,9
848,5068,9
408,5083,9
1339,5105,9
1383,5152,9
428,5157,9
1423,5174,9
1227,5181,9
46,5209,9
948,5278,9
1189,5278,9
242,5282,9
934,5305,9
1400,5351,9
980,5388,9
98,5405,9
1317,5547,9
567,5592,9
1337,5659,9
1372,5683,9
632,5740,9
772,5740,9
791,5768,9
713,5775,9
1151,5904,9
312,5963,9
772,6070,9
891,6079,9
649,6107,9
908,6158,9
1166,6201,9
430,6325,9
336,6345,9
327,6358,9
1255,6358,9
636,6360,9
820,6371,9
548,6381,9
1336,6499,9
377,6508,9
1133,6578,9
1266,6593,9
645,6599,9
616,6644,9
606,6684,9
1014,6726,9
740,6820,9
337,7043,9
147,7046,9
234,7077,9
236,7127,9
1177,7135,9
1379,7165,9
553,7181,9
1256,7218,9
1375,7229,9
376,7239,9
402,7240,9
612,7251,9
697,7253,9
809,7257,9
754,7285,9
832,7289,9
662,7331,9
414,7337,9
973,7346,9
889,7359,9
317,7372,9
497,7390,9
255,7418,9
235,7429,9
809,7431,9
1354,7464,9
