"synapsinR_7thA","synapsinGP_5thA","VGluT1_3rdA","VGluT1_8thA","VGluT2_2ndA","psd_8thA","GluR2_2ndA","NMDAR1_6thA","NR2B_9thA","NOS_9thA","Synpod_3rdA","GAD_6thA","VGAT_5thA","PV_1stA","gephyrin_1stA","GABARa1_4thA","GABABR1_3rdA","VGluT3_1stA","CR1_2ndA","TH_5thA","VAChT_4thA","tubulin_8thA","dapi_1stA"
1245956,1514146,2304208,2782370,749767,1724119,1964735,1576083,1290856,1576504,535639,883911,865038,1177590,768411,926793,1473473,1840096,1713495,1309641,800679,811530,838850
1035494,1566147,1588561,2214036,772911,1492186,2487629,1706202,1335101,1538291,647131,2780365,1543502,1132611,974182,956495,1614343,1756917,1491150,1252648,773257,883166,851167
1905352,1737932,2770858,3423384,748643,1672894,2264447,1720011,1653569,1650826,498399,1243831,1057904,1124138,957038,933712,1627269,1833905,1607578,1423360,737217,779483,846335
785477,1262905,1592152,2049896,717424,1157534,1782737,1712935,1158766,1452040,545699,1147876,1085879,1196280,1238154,962844,1498636,1765227,1478242,1256415,703635,687091,844356
1203996,1373824,2207249,2663199,769457,1638413,2242649,1805848,1523146,1707229,594712,1499161,1042021,1110474,861388,941962,1657421,1777118,1624848,1347632,749064,1124409,825451
865405,1178385,1452276,2244682,735443,1702471,1893839,1732084,1321889,1550073,769331,778061,798348,1201827,795410,907163,1405956,1758861,1898262,1256217,959222,3224422,818483
1893721,1885890,2497929,2618606,793677,1592450,2365385,1668266,1238985,1624059,610732,750494,887644,1129242,778890,966420,1519276,1812098,1557350,1275052,783247,1356819,836626
1054473,1612476,1292550,2034082,737860,1325171,1837215,1604289,1441465,1705364,593877,2756318,1917618,1533950,891912,859945,1484022,1894046,1525807,1403672,726796,1060706,868264
1926815,1724131,2305608,2767862,731763,1774604,1967795,2072362,1543703,1618782,928636,1266734,939682,1142210,845070,935728,1568496,1792370,1915693,1280270,986166,853243,827420
1366262,1514451,2247887,2700301,737712,1587665,2052401,1535450,1158647,1469660,633171,697976,776672,1175830,860656,836985,1519781,1726511,1536305,1277119,746156,738921,796796
