bIIItubulin,DAPI_2nd,DAPI_3rd,GABA,GAD2,VGAT,gephyrin,NR1,VGluT1,synapsin,PSDr
11393,55733,1127447,12562,38133,22302,33938,366710,36509,149739,118795
6832,79081,1608580,10666,32996,26806,50669,52525,119342,315994,497763
25493,60137,1192837,9506,26606,18899,46956,43501,60110,165524,337237
18509,34827,598507,26394,38510,15831,45122,19558,12454,70388,11947
9210,60319,1158774,11768,32392,23353,43970,82959,68249,56849,303660
22298,46142,899910,9245,22638,15462,22444,74370,52128,37502,131579
39516,62167,1253850,10318,30680,19190,28765,97441,27583,90574,684276
0,0,0,0,0,0,0,0,0,0,0
5281,32993,662447,6674,22516,11020,16860,121294,14151,20243,157962
0,10455,222146,2706,5313,3514,5364,29385,6134,2457,16430
12468,18900,381055,3228,8792,6343,10467,53253,14827,75536,47246
8955,57914,1065366,12134,25144,19653,32291,74528,37642,105445,324752
14052,32662,531874,6156,14202,12460,16253,69993,13717,106384,163907
12254,41718,804053,13603,24453,14927,20991,116481,36214,134351,178367
32716,37866,740711,4674,14223,10418,23394,44405,51254,94743,250832
11043,22015,410428,4089,12243,7605,13449,89414,17102,24549,98274
977,20932,364440,3446,17537,6892,10116,61264,7237,7088,11825
2677,37745,741751,5430,16813,12674,20445,33164,15140,22660,141991
26243,35059,712409,6387,21099,16977,19661,204153,30075,9897,81327
31570,56270,1109557,12047,23844,22360,30918,56192,74024,74663,501650
77838,132002,2402301,36355,92263,42831,73153,405604,49711,69440,293158
1447,20006,368914,3704,11458,6735,14576,89777,70661,49110,37358
11280,50527,1011355,8357,22329,15147,28881,69894,36628,152770,276223
9414,45258,866252,7851,18164,14754,22170,48487,41983,21504,116277
13210,22083,489268,4415,14755,7838,11208,114927,6075,2139,68461
2347,12408,268866,3577,6781,6632,6096,26385,4221,490,10931
1930,23358,507905,21763,14791,9917,10946,66315,15325,33513,52308
26733,53919,1108162,10682,30602,18351,28577,78562,51049,104361,333299
13408,36400,654084,7036,13287,10910,18706,15391,17964,52463,169886
14257,41507,874925,7106,24215,13620,21338,184110,23469,42932,80612
1118,50234,928939,11721,20399,17625,25013,26276,17200,38219,186771
17604,39516,687394,7539,23084,12375,19372,150396,16282,71456,70075
42803,27471,523869,18149,10115,10210,13106,29921,24823,66185,48692
3774,22711,450743,21264,13444,10765,12338,21564,19333,133025,47057
2853,19601,350307,12175,14923,20254,10504,10500,6964,24643,17769
4169,29546,612311,5954,14823,10794,14555,53471,10868,71770,239644
10684,77806,1411735,6702,27523,22207,37938,83186,65933,245082,374334
0,24840,506018,6245,14552,8280,12759,89270,13638,38229,139903
2471,12551,260997,2344,7246,3895,7488,22574,22877,26489,93227
1005,29892,604575,7372,24398,10244,21178,70472,17736,144082,170203
20866,23495,483718,3336,9443,10314,17057,29600,40312,87990,78067
1299,20532,442593,17984,9895,11982,10224,63851,10788,11523,90422
4968,12103,272825,2590,4585,3669,6032,14264,8363,14213,11641
4102,9926,206177,2366,6213,2583,5748,34307,6168,9937,13737
3139,17073,299451,3736,6983,5339,9280,34012,8810,2350,67366
6843,6216,94673,1036,3033,2072,3533,8885,2336,2458,14624
4684,18582,372321,3520,5972,5972,10405,7323,18802,20725,68599
13877,45001,884625,7506,33493,14280,21909,128879,15726,11965,286330
9414,58542,1101481,10706,25567,21122,97527,40505,61200,190994,408587
10306,52700,1046469,9614,28068,20889,44634,135761,23909,54495,246640
5827,19511,357175,6977,6473,6451,10607,23715,11734,42830,17135
2063,13758,202762,5168,5321,4397,7270,20633,6362,3083,5165
2551,27730,453968,8230,11594,9741,15811,51186,28446,67245,54197
15408,48411,979805,20815,36914,18934,26919,74232,44294,142555,95610
51800,31738,584005,82330,74850,24858,117765,12012,20755,44485,8543
5911,18472,292920,5667,9808,11462,12302,56331,9036,12742,61200
19893,63025,1322904,10266,28490,20860,32307,178384,40340,97198,253607
10435,63712,1141752,60583,69421,26007,142744,43763,28536,122010,46610
28913,73280,1227830,15519,45235,23476,44578,137221,52359,107371,155390
4404,18536,413545,12882,6409,8338,10226,10625,9934,76446,21040
595,9629,182765,1613,3351,3226,5048,9063,6820,7566,12158
3409,48791,965638,8909,17216,16632,26207,46835,27499,117576,281790
23496,49588,928140,8826,20593,17508,25222,72143,33020,128580,267782
12316,51834,1034270,11808,20197,18544,23781,28179,21434,73834,231369
6803,41330,779336,8335,23803,12930,20853,115935,13177,4972,231050
18654,10729,188015,4279,4685,3593,5251,22790,3654,14028,26011
13741,11112,194860,1983,5165,3704,6930,36044,10356,26642,28809
22109,28230,622754,5161,10846,9095,15585,38561,15511,44372,85208
3152,26120,488382,66439,38980,21550,14185,15941,8784,45180,7720
24026,22393,416286,5076,12712,7497,14362,11738,23579,12096,111140
4992,7362,138733,1227,2610,2454,4291,11337,2134,3654,4654
3363,22020,400854,4629,8496,7340,12209,21395,12184,75609,121145
1700,16720,342946,2593,6448,4992,8410,10480,18555,49862,30954
0,12036,250802,1941,10452,9421,6444,45837,9268,49183,51211
18535,31719,589598,6850,13655,11598,18683,17527,28303,231988,27680
12440,21192,388370,3839,12180,6627,11981,30596,19722,33541,48047
431,11501,209151,2254,4547,3944,5497,24439,3944,8256,71511
5804,24942,476258,11646,13332,7510,12302,21356,9523,18402,73750
464,9154,193944,1610,4035,3210,5695,11558,3610,11376,45783
8434,35166,776504,9011,24927,11898,20665,18153,18726,150948,317297
0,32561,623221,26742,12549,17948,19282,54636,32299,86581,87813
3105,17415,308800,66700,94720,17746,8796,11251,5569,109453,5464
3170,23709,392372,9415,9447,7867,13263,39332,10119,57026,32690
1687,8112,154390,1855,2670,2596,4684,4183,2670,5244,15973
728,16678,277568,2803,5262,5392,7737,7923,5760,12189,17846
33986,24427,452354,10806,43345,8468,24594,16886,10467,36130,6299
13157,52137,1052597,6216,25713,16252,27013,33281,17154,45720,339131
18704,75610,1591719,13954,84029,27226,44706,289338,42034,124161,738244
1272,15468,337102,3452,6124,5078,7755,7751,12608,34489,36618
0,22071,508788,10827,19126,9789,9523,139590,7056,7358,62316
343,20065,427391,3346,10169,6692,11895,68888,25142,85949,82020
3684,24510,391867,4164,10409,9246,13135,13013,25877,47160,151708
19641,37878,692625,20130,22643,12981,24187,52440,18630,119983,35341
2719,34882,674384,16253,13785,10984,18236,35419,25461,94294,50686
4646,34884,627048,5821,16766,11142,22159,44254,21930,41131,210539
2323,7780,152952,1209,2418,2418,4326,5444,3564,903,7817
1242,16002,304570,3994,6075,5334,7787,16442,8993,14514,46592
1192,9657,158238,1688,4717,3725,5277,33997,3515,3756,11858
3910,20202,391947,16352,76584,12179,56065,13667,8427,71421,8545
24688,15141,266712,4193,8309,4836,12252,67916,16414,59558,68153
3906,16582,297804,4871,7275,6442,7851,39424,5700,10322,12883
2441,22758,430131,4806,9303,7845,12548,29070,29308,70807,107861
0,22098,391176,3820,7799,7261,12160,20496,41930,78967,128302
7757,13950,277401,3169,5958,4464,9425,39503,6596,12696,4464
0,8328,144964,10167,3444,4699,4164,9594,2776,14441,20461
952,22474,449351,5777,8623,6946,11621,12171,16370,23225,23424
17113,14124,306943,2354,7149,4667,7062,49789,12341,43083,15000
34465,68363,1406037,15904,28229,26206,37562,39428,51553,387497,138881
21798,30408,560889,5447,10564,12937,14434,28424,9699,13591,68597
