bIIItubulin,DAPI_2nd,DAPI_3rd,GABA,GAD2,VGAT,gephyrin,NR1,VGluT1,synapsin,PSDr
0,27816,570139,4083,10381,9181,15042,19380,22503,83186,74520
3327,11670,240181,2215,4569,3890,6586,12773,7598,18025,32878
350,16485,326760,2802,8978,5529,8778,45078,19938,923,33726
4569,19773,396017,10277,8818,7887,11232,19619,25622,33326,57377
4596,50189,1079098,35272,17084,28401,121852,29310,22118,4235,9810
0,17131,352790,3478,5933,5222,8460,9628,13555,20968,59907
2843,27981,528649,6527,16738,11549,13869,58847,11951,39337,96225
0,8477,166907,1428,7384,2853,4284,2930,14884,17930,24131
1883,9333,149518,2534,3397,2863,4269,4867,4590,2167,25312
11917,45173,741156,8556,21074,15034,30370,25216,54068,40871,252904
2853,4464,93049,744,3082,2028,2653,19175,3831,0,23262
35282,64337,1225650,13044,29115,20384,34247,99960,35180,146683,310609
64477,116466,2427363,19845,41066,38266,58630,71336,82165,165135,161489
1033,41386,891641,6964,23997,13917,21870,143536,14058,19090,173137
25068,26193,548445,5346,10519,8458,12815,22937,15965,25075,85629
5497,15568,306992,3198,5214,4844,7629,9252,4761,1932,5540
0,3864,78711,644,1836,1288,1944,2576,2987,0,1288
0,7452,147197,940,2667,1834,5290,12646,10494,0,2949
3338,35106,739809,9577,14120,11217,17647,70924,15890,109109,129919
1980,8762,172947,3792,7117,3795,22292,14031,3960,31215,2451
8132,30396,711540,5237,21102,10747,15210,168187,12750,26343,91768
2530,36333,590292,6841,25616,12694,16718,261697,34199,40481,145315
2427,17346,378977,4485,7359,6078,9768,33944,5488,25014,72727
12653,23652,442201,5661,12108,9293,10087,41472,8912,21623,17857
10632,21660,453299,5714,12174,7796,10167,96258,14138,45462,12646
2745,29652,528795,7338,13895,8979,11241,65724,9435,49408,39701
9461,40812,879443,50146,74417,22240,32945,35177,15962,33510,11896
3368,29258,560473,4946,11799,9286,13832,19130,17820,70875,70275
1174,33421,636470,11602,52931,25937,92098,20604,15024,33926,11426
55342,19962,334149,3908,12609,6838,10257,15377,7673,14746,33239
5946,29017,597025,4758,13585,9516,13692,112541,11145,56284,59390
221,16955,380451,2829,5071,5388,8487,8277,5465,27944,68573
15286,7680,162604,1847,2560,2018,3977,4421,4901,13105,18805
25959,60914,1172274,11203,28497,21040,27307,51704,47537,258239,288844
22725,50498,1099783,8129,50259,17883,28732,71521,53645,214721,275746
17026,59098,1298009,14144,32319,22182,30764,207930,52586,68355,305891
14649,52585,1143161,9782,21136,18771,37632,76346,35951,127616,336703
3731,18467,288941,10801,10464,12730,82862,9646,8867,25078,6057
25821,44605,892854,8015,28590,15960,28362,217061,46803,96615,269883
3632,14102,261241,2620,5449,5853,6552,8470,5322,68808,69734
2558,23727,468364,13603,15544,7350,11102,60249,16276,53163,99876
24519,81362,1753348,13245,29667,23878,45351,66624,83900,134454,408925
1212,8850,192947,1475,4861,2950,5091,29260,5386,36808,45847
7477,24109,467552,4291,14024,8856,11886,103575,10520,12553,35259
3804,22184,449082,3421,8969,6859,12025,11392,22704,49562,76614
79,16910,309727,3588,27129,5145,8514,74904,7449,1277,38403
0,16860,346199,5818,29207,6560,29754,10297,6567,32956,10380
1989,16758,353391,2793,8682,5586,8712,28537,5685,4306,3604
3493,8914,152779,1006,2346,2671,4423,5912,2949,5252,15867
76,3074,51459,633,793,938,1407,1237,498,584,1970
3208,15675,364830,2936,9667,5208,8373,83672,17814,56041,55730
0,21192,515581,5591,11409,8340,11323,84022,7064,85851,45110
40011,76794,1418037,23947,43935,26106,36698,98808,72795,169738,359197
5071,35783,732363,7551,13957,12719,24721,18737,27161,296511,162163
6128,35696,701795,3763,16891,11379,16212,30757,11880,55644,217467
34476,29709,608243,7339,19931,10921,13803,182013,15586,11892,109848
9588,29649,607068,6236,14660,9964,13280,38112,13417,25942,201477
48574,45000,872551,8882,25945,18043,21557,169324,28373,49094,126162
1290,16938,336744,24076,22706,8207,11040,9940,5552,12834,5684
14090,29795,524508,24929,13003,11374,14558,42929,20230,106167,9893
8845,37445,733333,6023,15161,13549,29012,42392,40189,174086,211613
37865,79996,1549476,13633,34331,26066,41933,105866,62973,156397,416531
3528,27143,520469,5526,10822,8386,14289,40672,33470,66204,149263
19411,24566,450412,6981,12614,8000,17533,29908,11245,38578,60372
4237,31499,631291,6169,15046,10109,17084,92820,16065,47536,255187
27908,65853,1379663,16347,41467,21890,32246,89106,32030,247449,286949
2894,26532,509624,5157,10196,8768,12437,50110,20960,2084,190656
14879,34077,733206,5337,11129,10300,14557,18392,11682,11762,141671
26851,61341,1220207,12939,48765,20012,36117,84889,35620,38066,418033
10524,43644,926003,9005,30660,15068,44888,308639,43515,191920,217485
1284,28356,542253,21142,16483,10936,15381,52245,22619,36957,67109
3280,22513,396634,8580,10062,7588,11156,11623,16211,122744,39586
18624,36628,648176,13612,14905,11780,17493,47794,18402,96684,124164
11628,52249,891584,9633,17300,14680,36860,27318,35851,50705,154354
0,13674,231854,2222,5589,4444,7618,8087,16073,21882,47238
12947,36438,710685,16817,18206,19468,17796,69372,24936,175860,124706
2029,22597,408350,3552,12512,7189,12287,91291,7104,14295,42623
2301,16950,274579,3394,6562,5650,8532,15396,20315,9592,51462
3216,21276,432901,3546,11023,7092,16020,66637,7464,27766,64283
6147,21031,304308,3998,16445,7294,11922,45188,20766,4351,173998
22097,31851,640652,8729,21953,10676,14988,29828,19047,1677,93815
104,5094,89831,1047,1698,1698,1991,3974,1698,10594,14205
5552,38142,718865,6357,20740,12649,19215,31228,22697,29327,125953
3999,24045,443225,56966,10787,18548,41029,12051,8776,24886,8137
10428,24175,457156,7566,13989,9451,10084,141541,9541,37056,146616
6551,51581,964075,17597,28620,16952,27872,86359,44333,101471,174265
7540,40542,739281,15954,16963,125350,18778,61520,35998,35537,245975
24563,35379,782546,8109,26151,11930,23614,56273,63632,93045,262982
3410,16978,304998,2840,7994,5198,8439,59908,5680,831,22257
13313,12599,238200,2515,5947,4736,6823,23823,6748,10667,32106
2,30515,628599,7124,16171,10642,13951,142895,10717,153,48185
13311,66206,1186876,13132,29532,20362,43141,94299,33609,22443,546989
168,11918,224613,2246,6327,4147,5942,27025,20680,22155,68239
4392,13039,209318,2985,15193,4205,6464,6290,4378,10213,3792
19202,29640,610521,4940,12384,9134,13629,47357,35232,52089,9880
25078,30250,613224,12765,11381,12502,17213,13358,20844,12876,60472
813,12046,203810,21179,13659,8974,50557,8820,6057,9362,4455
2164,39119,817244,9951,14435,14866,29097,24362,69830,3779,366229
20364,21283,416591,14468,9758,10304,10398,26311,18431,39617,88998
12214,14058,314287,3025,6954,4590,5984,18593,13715,53955,19645
57355,24793,453950,4928,11300,7903,12926,42937,11521,32818,122890
2028,21222,390250,2624,8034,6475,9188,25278,6349,78959,102957
173,10782,170784,3968,2573,3398,14825,5524,3661,9141,3570
4925,7350,137853,430,2222,1516,3570,4077,4038,13242,1782
369,25388,563641,27134,10301,11189,11878,14027,15805,18923,56831
47,31682,602005,5637,17627,9931,14822,165166,9937,5230,59972
8799,77519,1479610,14515,29344,24323,39386,60600,83079,202765,423633
1411,13763,276606,25822,14315,21493,37793,31416,6517,11216,5894
47,8085,189879,2006,3815,2569,3349,24297,2678,8804,71348
3740,15276,302942,2676,6458,6505,8227,19608,14639,10533,47882
8461,33299,613277,36887,41104,17660,57078,19902,13899,36401,10512
29797,75045,1594154,12439,37247,24632,36435,52668,48721,284343,712803
209,21071,434159,5577,7050,7116,10103,25050,23706,53024,57183
40210,83192,1459317,20303,39611,26623,36563,164920,41220,42160,161983
46516,92597,1725629,15925,41188,29035,49687,87284,74837,457843,338276
4498,12940,281418,1988,4148,3450,4585,7776,8440,15812,5298
17611,20460,381404,10256,12420,7795,28006,11445,8743,54500,5326
12626,32374,462622,6607,11719,10495,16332,29550,9254,12020,94990
3417,35730,692415,38105,43609,20325,84197,19875,15379,18270,10256
1557,9609,194663,2905,2623,3469,4907,5197,3460,2935,15041
4005,11334,174089,12620,4564,4595,20018,5919,4777,1977,3807
3045,38164,847792,7790,20766,11736,36030,54363,15547,181640,120740
9151,59552,1087881,9262,21708,18494,31432,35154,21745,114861,31826
26770,56724,1100031,10162,23101,18175,28367,43707,44389,84029,231643
14570,41334,741879,73024,57384,17762,35042,25776,14934,27777,15685
73066,28698,607737,80248,50014,25426,32342,15065,11449,52745,8960
23859,40671,732009,101519,78753,33909,94754,21685,16552,72578,9345
3992,20972,380974,4815,10020,6967,11588,75011,17067,63660,69278
14412,66355,1374633,88963,128761,36537,213847,38890,31968,38600,16010
24915,39511,708191,6914,20720,12468,18672,59401,16782,63862,199149
4260,14911,267811,3159,8846,5106,7980,7940,6439,10939,962
6583,15494,274701,2613,9869,5047,7174,22723,4314,0,49967
59293,22505,487316,3662,18681,7255,16858,19275,13053,40759,109501
19948,45795,884546,8844,28156,16706,21056,207505,51131,135305,310810
11505,24578,449313,4742,11533,6788,13701,38418,12564,44878,94969
8297,53747,1148131,13790,26710,18344,22203,153284,39028,29385,350421
2385,13306,261966,3626,4548,6943,7440,6093,9162,94,61793
35983,28373,546890,5406,14962,10909,12203,35087,9593,8480,257562
2016,17382,351821,3048,6369,5720,8757,8508,7689,2783,52996
1336,8016,186117,644,4008,1850,3185,22774,12159,15330,70219
2136,11038,208614,1741,8244,3482,4814,6074,7724,39593,56525
27582,29653,639319,5980,12392,9743,13072,19141,19327,53357,83435
6517,20084,410041,4411,7442,5767,9800,12354,18786,24757,38524
1450,36059,626911,47443,42972,23485,61084,19211,34175,62755,11327
12293,18228,356965,3038,7436,6076,8215,18914,11144,1,109014
7188,22366,432838,4041,15328,7116,10559,51517,10046,7520,132851
743,26184,525187,6710,19666,8454,11341,97666,11758,20992,88794
695,23197,461879,12946,8054,7873,11207,21319,10509,24093,60988
10035,35312,685611,7608,19582,14851,20353,62638,30871,42313,171833
2578,20382,432373,3255,11444,6794,9840,58536,17853,3413,36846
878,8454,173817,2045,4377,2484,3305,14669,14132,7487,53644
0,33331,658684,6505,11142,9768,14652,18302,52206,99433,258913
10802,20789,419472,4484,14258,6474,7807,75572,7181,3088,22477
4814,28320,629219,7097,10019,8477,15695,15770,17468,43347,167611
3227,19538,423560,4816,11297,8222,8048,85715,14953,51158,55007
9919,25456,420444,4693,25311,12611,12894,69885,11018,120350,80838
38092,13267,243904,2203,6466,4408,8067,9266,12933,22031,71214
5830,7368,135998,1306,2941,1881,4480,4285,6985,49684,5153
2189,12991,258206,2016,11268,4000,5748,16803,6033,30297,103821
688,30388,601263,7116,23283,22803,14951,254929,10152,4932,87190
4041,37144,745452,4895,19110,11383,18424,18181,48111,12548,276172
16212,33649,616189,2403,13151,7303,17030,88855,50693,57235,256201
831,21662,417009,5229,8775,6392,8372,27499,7310,45976,105564
514,12386,266811,3656,5277,3908,6110,7112,3937,185,28538
724,11069,240090,1981,5165,3704,5221,12879,8843,34673,8902
4658,11076,258223,2287,4538,3926,4352,8396,20567,4964,45386
4379,23942,521420,4832,9304,7708,8877,28048,8294,19349,143970
3466,22032,373747,5140,8035,6812,10325,13025,9910,557,115864
92,11364,222585,3323,6441,5048,5481,30908,6334,4041,77645
12226,53089,955363,8507,26343,16276,23929,51587,64556,49278,228355
5128,27143,445830,29805,21427,13294,19174,13864,9648,17674,6449
5122,18010,356830,3526,9540,8073,8886,51748,23318,34402,79358
309,6429,166204,1050,5830,2100,3150,4369,2467,3972,2234
7494,32006,613485,18151,16478,12825,15269,116358,11952,23308,90564
2076,19348,369311,6582,6630,6880,7948,10339,10107,38606,43723
10304,29702,651638,7689,11477,9145,15339,17299,70843,113386,42743
7779,32130,614106,21975,13884,11963,16539,45714,35298,54944,46823
8719,21264,428655,3629,10424,7246,12642,39359,10314,23947,120345
2853,31974,663414,5777,19492,10455,14228,75959,20819,43364,269453
36216,43283,789239,7173,22915,13493,19213,42644,51650,99885,293690
30570,81353,1594340,15728,54110,26487,52550,96940,36543,45388,341074
15572,103113,2124784,16850,60249,34454,47299,108045,93326,474150,487470
1102,27311,569772,4396,15542,8792,15736,99208,41733,10813,202078
46393,43895,816022,8639,26162,15280,16781,138445,28325,76158,148296
84598,58659,1142257,14496,30496,19364,39433,102955,27122,70725,188205
4564,22005,396180,4098,12344,12203,13855,50734,12091,59596,75591
12106,52372,996412,7954,22139,16523,25677,76128,48870,284827,194564
7780,12714,243275,950,5915,4199,5734,43096,8330,2471,20322
85,16386,350670,25412,6462,8257,7818,17042,6019,5221,15602
11249,73295,1441036,13586,29550,22828,36414,63032,41374,92060,264499
14348,43152,822115,8647,19766,13932,20156,89863,33005,295010,286374
22683,20298,397174,35177,43639,14904,40181,15146,8799,30451,34678
2133,12268,214732,2184,5995,9436,5825,31473,4385,5001,7311
4856,30144,544162,6493,13453,9857,14447,67184,10048,21550,78005
4722,17849,388130,3654,12762,7535,9825,79781,34250,23486,109043
11209,52692,912198,10249,31227,15922,21348,33933,18331,15327,206302
1891,50725,1097864,11093,21557,16589,25463,57809,39754,57199,278104
15284,45924,1036386,53963,14468,20572,21494,31921,33612,10238,103698
4924,19327,353218,4760,7284,6232,10071,29400,15057,6833,92417
0,8401,164234,2091,3186,2547,3330,3411,3677,133,2127
864,20363,413010,22078,31453,9905,70131,10613,10388,54508,6626
5627,6406,132033,1520,3398,2200,3049,16005,2200,1078,2200
22584,39210,699858,6215,11408,11487,17667,20721,25020,21600,202088
177,10318,199849,9772,5267,4858,5060,19865,4463,3285,14754
16002,29994,661333,12021,10503,11038,15104,16791,58079,73734,224422
2635,19658,379652,40855,101438,20584,75479,14508,8535,129872,6478
7158,8371,160837,1372,2811,2970,3278,3383,2908,866,30516
9116,50794,941800,9210,34343,15162,24196,62646,33819,140875,503390
3877,17881,369403,7247,27774,6372,8246,139877,10457,8487,79996
11758,94476,1696586,31950,48523,31049,43322,107531,42499,416856,400419
1019,47976,1079247,13122,29585,17965,22486,36027,28493,93677,156505
3948,28930,531737,6747,14899,8934,13536,48139,37427,156694,171792
11139,25082,551020,3880,15188,7603,10896,60095,9480,46774,159248
28024,25025,473297,4740,17638,10970,10816,155151,16946,16175,73630
675,12681,203874,2008,6281,3759,5934,42862,4079,4527,58133
13190,24350,497522,5001,9682,7836,12657,13425,8491,140,26049
18467,45566,892334,13984,19254,13426,19786,56490,24641,123613,245114
6040,33849,566576,5270,15712,14377,16881,42501,17726,28364,332171
1596,14369,283380,12528,8792,5751,6663,16453,11426,13979,71153
25131,23440,443553,5717,17740,8997,11324,178958,12583,12687,89950
0,4701,90974,786,3354,1572,1572,12841,792,2140,22828
10953,32676,593825,28533,10969,13023,12773,17455,10433,34787,34018
17281,69111,1467781,10936,37039,18465,31523,51460,77681,364091,605820
47,19003,388975,3469,7034,6614,9313,16187,35675,86382,137583
782,16735,289577,2657,13713,4513,9041,25262,11668,19556,49405
4802,33510,584730,7409,13427,9503,18005,34835,11987,66868,239608
4527,14425,255139,2315,6503,5319,6378,29081,12877,3783,29742
674,11611,241921,6424,3776,4169,5173,6524,4037,518,22152
416,27867,439636,7425,9342,8317,15835,74747,32300,8482,122443
15303,47875,894232,9659,16618,15843,21819,28778,20735,38782,251500
8136,26395,538158,6521,11490,8837,11743,38557,25016,70210,283134
20033,102975,2025417,16577,51754,34787,58757,161334,89650,224287,679123
8353,33985,655997,23026,19940,12355,14941,30186,15190,19848,98200
8250,31486,643977,6142,14225,9509,15567,50437,33355,81193,127598
12327,71250,1401775,12002,42993,22337,41061,375400,130400,316292,330978
2938,17046,297847,686,10555,4795,9200,78752,9060,25517,136926
1386,10852,213505,8094,6293,3118,46306,5785,6310,3086,4310
120,9766,185032,1686,5431,3372,4038,46877,10899,24742,29896
1740,6974,139110,1099,2683,2305,1314,11985,2167,7040,19205
13664,19143,346797,4423,9444,6530,9372,38963,12846,68622,231494
119,17001,330404,2116,6644,12930,6338,25190,17944,23971,49654
955,24612,480704,3782,11253,6959,12311,61013,12751,37306,134848
4046,21744,398068,4215,6976,6694,9073,12001,6934,4426,8975
2902,18660,316960,4211,12475,5960,14145,53694,35079,42670,39021
1658,16191,269513,8031,18765,6942,52407,10762,7613,16450,4085
7588,13735,252427,12001,89010,6003,6242,8650,5127,20105,1149
870,31143,584817,17489,14625,11682,16008,17080,38339,118656,86866
32091,22629,420362,18988,8988,11831,10802,25089,9950,19762,38488
18376,41058,728842,8068,16569,13446,17518,31500,19160,16321,267687
595,13285,243019,3909,4578,4258,7832,8432,21672,10674,10869
1717,11857,173527,3733,4639,4192,5145,17904,18524,22730,40701
1739,33780,593127,27338,17664,13585,14164,124689,19359,60922,41943
2924,10658,207109,2156,3856,3416,5017,5798,6048,0,119998
19031,20064,459337,3454,12032,6236,12473,129743,41524,17197,57627
4143,36101,540640,16144,14172,12169,34658,53756,37766,104658,41034
4806,8090,146101,5293,12484,3379,3429,33545,2958,4028,1575
2304,40188,690671,6111,16683,12817,21176,31513,39642,63336,250075
7792,30238,523267,24375,10070,13866,13370,19652,13071,19656,213860
40105,18904,341817,15853,8100,9025,7646,11686,6272,12048,18951
5045,23285,400789,2156,10603,7465,10818,81430,15193,25681,174240
3354,18631,352605,2891,9016,5782,9102,49183,11126,51335,92983
1141,21164,410410,4080,9518,7692,9988,11489,20575,125478,99308
745,19961,351809,7861,10214,7947,10000,32042,17418,20170,139145
28723,43106,785768,10748,18650,12809,19171,60496,28662,163830,42573
3787,18717,322669,9676,7032,5886,8515,10280,21437,16271,4513
6545,29553,602428,4551,15533,9117,14042,35528,28600,46845,174347
5193,10234,173259,3156,5624,3584,4726,17861,7519,2851,36909
9821,43284,946152,13221,17513,14059,21049,28036,30657,34763,222026
13308,31304,618792,4654,14962,9280,16062,76564,68471,123134,418739
1624,17160,312603,6936,6320,5454,8051,8789,10718,19003,33042
5108,11811,204906,1711,5967,3411,4567,41548,3489,4155,37771
1900,19462,293986,4747,12743,6999,8300,91217,18616,14067,10684
5576,25029,470173,6214,10127,8054,10241,14171,13964,40361,79457
5833,16604,315412,2396,6111,4792,6068,9179,8617,24648,1786
26606,81271,1440684,20024,39841,24375,33751,164975,45542,13776,110758
29517,36104,572598,8485,23082,12705,18982,176726,62678,164152,178721
24650,25164,441779,4023,10067,6661,9956,29845,19928,15741,350239
5612,25876,541317,4098,12240,8644,11952,34329,15415,19802,142015
5337,31850,621876,4746,17243,11302,12996,69300,18793,84691,85281
2338,27655,566785,5418,14872,12635,13139,54541,41306,27577,162491
8909,30455,585724,4750,13762,9350,13788,62882,29253,77420,171243
9975,27617,505752,27596,61846,15592,36147,35054,10678,67486,10375
1085,6405,107581,2500,3552,2012,2955,22066,3312,1258,12676
4767,25071,481312,4538,19648,8499,9646,38652,11540,13952,84280
15138,37900,720682,13133,15509,11030,18473,47774,10941,8654,220409
49518,41127,806092,18139,15066,14263,25796,21189,35886,69655,205492
13638,5140,64505,2315,2474,2359,1850,14535,1850,102,2288
5127,24502,507492,3777,21510,7410,11050,95909,9569,27170,67964
36089,18329,320475,3531,7972,4837,8238,47330,7909,20396,103370
4626,21562,385395,4392,12125,6296,15430,54425,7737,17167,48363
9871,14496,208450,11378,11143,6140,5171,7643,4918,6063,4919
16618,15862,315251,1302,6701,4815,9910,36099,24588,20080,58982
1897,9698,172369,473,4566,4705,5184,16478,3304,20597,29517
2466,9790,149433,1412,5766,3082,3923,27333,3486,0,38827
29468,23809,449655,4261,8959,6875,10569,27000,10329,8119,101204
4766,10221,179156,1595,5962,3981,4284,50213,3901,15384,41172
1153,21864,390732,9025,16202,7112,9283,53488,7595,21326,86553
0,13683,211454,2005,5845,3982,6015,38299,4871,3399,61719
166,15822,305733,4511,5516,5078,6586,7377,5078,25390,55624
6790,31684,604867,5087,14538,10156,11731,18791,23038,32388,66879
11555,17330,310623,3994,8333,5276,8022,58872,5348,3677,70220
22930,16434,344601,2160,6971,4516,8217,7430,5478,3020,123531
1458,25768,394092,21633,57792,10020,44993,17483,9835,31254,8453
48059,27240,481314,14102,10724,11206,12566,14093,14710,46522,135589
9065,34772,655892,13859,12454,12407,15651,20912,11248,16340,278312
82954,43322,806346,5904,16916,12535,20982,35764,19064,29513,417530
7405,13263,280396,21461,17133,8341,53636,9972,7329,17494,4304
9356,10628,203249,2820,4232,3331,5097,5967,3544,20209,27897
19991,15254,254268,2537,18255,5523,6568,45798,5607,4599,32653
6203,28013,521514,5252,13166,8922,14854,14380,15766,36257,189514
531,32415,611668,6883,18197,8888,16115,152007,25543,42865,47233
7058,21961,414315,4087,9806,7183,10346,35207,7552,6784,94702
