method,dimension,accuracy
k-means,10,0.835
gmm,10,0.755
spectral clustering,10,0.795
kernel k-means,10,0.84
kernel k-groups,10,0.84
k-means,20,0.85
gmm,20,0.79
spectral clustering,20,0.845
kernel k-means,20,0.84
kernel k-groups,20,0.85
k-means,30,0.845
gmm,30,0.855
spectral clustering,30,0.84
kernel k-means,30,0.86
kernel k-groups,30,0.855
k-means,40,0.77
gmm,40,0.77
spectral clustering,40,0.825
kernel k-means,40,0.805
kernel k-groups,40,0.84
k-means,50,0.825
gmm,50,0.785
spectral clustering,50,0.81
kernel k-means,50,0.76
kernel k-groups,50,0.845
k-means,60,0.78
gmm,60,0.515
spectral clustering,60,0.81
kernel k-means,60,0.795
kernel k-groups,60,0.8
k-means,70,0.8
gmm,70,0.72
spectral clustering,70,0.795
kernel k-means,70,0.72
kernel k-groups,70,0.83
k-means,80,0.795
gmm,80,0.62
spectral clustering,80,0.795
kernel k-means,80,0.82
kernel k-groups,80,0.805
k-means,90,0.78
gmm,90,0.695
spectral clustering,90,0.795
kernel k-means,90,0.675
kernel k-groups,90,0.805
k-means,100,0.705
gmm,100,0.615
spectral clustering,100,0.775
kernel k-means,100,0.67
kernel k-groups,100,0.775
k-means,110,0.53
gmm,110,0.615
spectral clustering,110,0.81
kernel k-means,110,0.505
kernel k-groups,110,0.82
k-means,120,0.575
gmm,120,0.705
spectral clustering,120,0.855
kernel k-means,120,0.65
kernel k-groups,120,0.845
k-means,130,0.515
gmm,130,0.625
spectral clustering,130,0.59
kernel k-means,130,0.575
kernel k-groups,130,0.55
k-means,140,0.585
gmm,140,0.515
spectral clustering,140,0.71
kernel k-means,140,0.525
kernel k-groups,140,0.665
k-means,150,0.66
gmm,150,0.57
spectral clustering,150,0.715
kernel k-means,150,0.55
kernel k-groups,150,0.72
k-means,160,0.635
gmm,160,0.55
spectral clustering,160,0.73
kernel k-means,160,0.595
kernel k-groups,160,0.715
k-means,170,0.54
gmm,170,0.555
spectral clustering,170,0.62
kernel k-means,170,0.53
kernel k-groups,170,0.515
k-means,180,0.58
gmm,180,0.67
spectral clustering,180,0.555
kernel k-means,180,0.535
kernel k-groups,180,0.585
k-means,190,0.545
gmm,190,0.755
spectral clustering,190,0.785
kernel k-means,190,0.65
kernel k-groups,190,0.74
k-means,200,0.59
gmm,200,0.545
spectral clustering,200,0.53
kernel k-means,200,0.54
kernel k-groups,200,0.51
k-means,10,0.835
gmm,10,0.815
spectral clustering,10,0.825
kernel k-means,10,0.825
kernel k-groups,10,0.83
k-means,20,0.845
gmm,20,0.775
spectral clustering,20,0.83
kernel k-means,20,0.835
kernel k-groups,20,0.84
k-means,30,0.805
gmm,30,0.755
spectral clustering,30,0.81
kernel k-means,30,0.805
kernel k-groups,30,0.81
k-means,40,0.82
gmm,40,0.83
spectral clustering,40,0.82
kernel k-means,40,0.815
kernel k-groups,40,0.83
k-means,50,0.855
gmm,50,0.53
spectral clustering,50,0.845
kernel k-means,50,0.8
kernel k-groups,50,0.845
k-means,60,0.8
gmm,60,0.59
spectral clustering,60,0.795
kernel k-means,60,0.805
kernel k-groups,60,0.795
k-means,70,0.755
gmm,70,0.53
spectral clustering,70,0.81
kernel k-means,70,0.775
kernel k-groups,70,0.775
k-means,80,0.765
gmm,80,0.595
spectral clustering,80,0.765
kernel k-means,80,0.575
kernel k-groups,80,0.7
k-means,90,0.825
gmm,90,0.705
spectral clustering,90,0.85
kernel k-means,90,0.785
kernel k-groups,90,0.84
k-means,100,0.705
gmm,100,0.535
spectral clustering,100,0.79
kernel k-means,100,0.68
kernel k-groups,100,0.72
k-means,110,0.765
gmm,110,0.665
spectral clustering,110,0.78
kernel k-means,110,0.725
kernel k-groups,110,0.8
k-means,120,0.505
gmm,120,0.585
spectral clustering,120,0.72
kernel k-means,120,0.545
kernel k-groups,120,0.7
k-means,130,0.53
gmm,130,0.62
spectral clustering,130,0.815
kernel k-means,130,0.565
kernel k-groups,130,0.815
k-means,140,0.615
gmm,140,0.62
spectral clustering,140,0.735
kernel k-means,140,0.545
kernel k-groups,140,0.735
k-means,150,0.575
gmm,150,0.515
spectral clustering,150,0.69
kernel k-means,150,0.635
kernel k-groups,150,0.625
k-means,160,0.56
gmm,160,0.505
spectral clustering,160,0.7
kernel k-means,160,0.51
kernel k-groups,160,0.735
k-means,170,0.605
gmm,170,0.62
spectral clustering,170,0.625
kernel k-means,170,0.63
kernel k-groups,170,0.715
k-means,180,0.66
gmm,180,0.51
spectral clustering,180,0.78
kernel k-means,180,0.585
kernel k-groups,180,0.67
k-means,190,0.575
gmm,190,0.63
spectral clustering,190,0.67
kernel k-means,190,0.6
kernel k-groups,190,0.695
k-means,200,0.685
gmm,200,0.575
spectral clustering,200,0.75
kernel k-means,200,0.555
kernel k-groups,200,0.73
k-means,10,0.85
gmm,10,0.72
spectral clustering,10,0.835
kernel k-means,10,0.825
kernel k-groups,10,0.825
k-means,20,0.815
gmm,20,0.69
