method,num_points,accuracy
k-means,10,0.6
gmm,10,0.6
kernel k-groups,10,0.8
k-means,30,0.733333333333
gmm,30,0.9
kernel k-groups,30,0.733333333333
k-means,50,0.88
gmm,50,0.88
kernel k-groups,50,0.88
k-means,70,0.814285714286
gmm,70,0.871428571429
kernel k-groups,70,0.814285714286
k-means,90,0.711111111111
gmm,90,0.722222222222
kernel k-groups,90,0.722222222222
k-means,110,0.745454545455
gmm,110,0.745454545455
kernel k-groups,110,0.790909090909
k-means,130,0.776923076923
gmm,130,0.776923076923
kernel k-groups,130,0.8
k-means,150,0.793333333333
gmm,150,0.88
kernel k-groups,150,0.84
k-means,170,0.835294117647
gmm,170,0.888235294118
kernel k-groups,170,0.841176470588
k-means,190,0.789473684211
gmm,190,0.8
kernel k-groups,190,0.8
k-means,210,0.752380952381
gmm,210,0.87619047619
kernel k-groups,210,0.857142857143
k-means,230,0.782608695652
gmm,230,0.873913043478
kernel k-groups,230,0.852173913043
k-means,250,0.8
gmm,250,0.904
kernel k-groups,250,0.816
k-means,270,0.733333333333
gmm,270,0.848148148148
kernel k-groups,270,0.803703703704
k-means,290,0.806896551724
gmm,290,0.875862068966
kernel k-groups,290,0.837931034483
k-means,310,0.783870967742
gmm,310,0.9
kernel k-groups,310,0.841935483871
k-means,330,0.787878787879
gmm,330,0.89696969697
kernel k-groups,330,0.851515151515
k-means,350,0.771428571429
gmm,350,0.882857142857
kernel k-groups,350,0.805714285714
k-means,370,0.767567567568
gmm,370,0.77027027027
kernel k-groups,370,0.783783783784
k-means,390,0.751282051282
gmm,390,0.841025641026
kernel k-groups,390,0.782051282051
k-means,410,0.778048780488
gmm,410,0.863414634146
kernel k-groups,410,0.787804878049
k-means,430,0.788372093023
gmm,430,0.879069767442
kernel k-groups,430,0.806976744186
k-means,450,0.757777777778
gmm,450,0.775555555556
kernel k-groups,450,0.784444444444
k-means,470,0.844680851064
gmm,470,0.908510638298
kernel k-groups,470,0.851063829787
k-means,490,0.777551020408
gmm,490,0.781632653061
kernel k-groups,490,0.802040816327
k-means,510,0.792156862745
gmm,510,0.880392156863
kernel k-groups,510,0.827450980392
k-means,530,0.775471698113
gmm,530,0.879245283019
kernel k-groups,530,0.796226415094
k-means,550,0.761818181818
gmm,550,0.781818181818
kernel k-groups,550,0.790909090909
k-means,570,0.801754385965
gmm,570,0.90701754386
kernel k-groups,570,0.850877192982
k-means,590,0.791525423729
gmm,590,0.884745762712
