method,dimension,accuracy
k-means,10,0.84
gmm,10,0.9
spectral clustering,10,0.855
kernel k-means,10,0.86
kernel k-groups,10,0.865
k-means,35,0.85
gmm,35,0.84
spectral clustering,35,0.87
kernel k-means,35,0.895
kernel k-groups,35,0.88
k-means,60,0.84
gmm,60,0.63
spectral clustering,60,0.845
kernel k-means,60,0.885
kernel k-groups,60,0.89
k-means,85,0.855
gmm,85,0.78
spectral clustering,85,0.865
kernel k-means,85,0.86
kernel k-groups,85,0.875
k-means,110,0.775
gmm,110,0.8
spectral clustering,110,0.84
kernel k-means,110,0.77
kernel k-groups,110,0.835
k-means,135,0.815
gmm,135,0.815
spectral clustering,135,0.83
kernel k-means,135,0.755
kernel k-groups,135,0.83
k-means,160,0.835
gmm,160,0.855
spectral clustering,160,0.875
kernel k-means,160,0.795
kernel k-groups,160,0.86
k-means,185,0.81
gmm,185,0.855
spectral clustering,185,0.865
kernel k-means,185,0.6
kernel k-groups,185,0.875
k-means,210,0.81
gmm,210,0.535
spectral clustering,210,0.795
kernel k-means,210,0.61
kernel k-groups,210,0.81
k-means,235,0.84
gmm,235,0.76
spectral clustering,235,0.855
kernel k-means,235,0.74
kernel k-groups,235,0.855
k-means,260,0.6
gmm,260,0.765
spectral clustering,260,0.81
kernel k-means,260,0.5
kernel k-groups,260,0.81
k-means,285,0.805
gmm,285,0.685
spectral clustering,285,0.85
kernel k-means,285,0.64
kernel k-groups,285,0.84
k-means,310,0.73
gmm,310,0.52
spectral clustering,310,0.86
kernel k-means,310,0.58
kernel k-groups,310,0.885
k-means,335,0.73
gmm,335,0.535
spectral clustering,335,0.86
kernel k-means,335,0.64
kernel k-groups,335,0.805
k-means,360,0.65
gmm,360,0.585
spectral clustering,360,0.76
kernel k-means,360,0.505
kernel k-groups,360,0.765
k-means,385,0.565
gmm,385,0.505
spectral clustering,385,0.795
kernel k-means,385,0.595
kernel k-groups,385,0.81
k-means,410,0.635
gmm,410,0.52
spectral clustering,410,0.815
kernel k-means,410,0.58
kernel k-groups,410,0.785
k-means,435,0.645
gmm,435,0.675
spectral clustering,435,0.81
kernel k-means,435,0.525
kernel k-groups,435,0.8
k-means,460,0.545
gmm,460,0.555
spectral clustering,460,0.775
kernel k-means,460,0.53
kernel k-groups,460,0.77
k-means,485,0.64
gmm,485,0.575
spectral clustering,485,0.815
kernel k-means,485,0.5
kernel k-groups,485,0.8
k-means,510,0.54
gmm,510,0.51
spectral clustering,510,0.765
kernel k-means,510,0.595
kernel k-groups,510,0.775
k-means,535,0.515
gmm,535,0.53
spectral clustering,535,0.82
kernel k-means,535,0.605
kernel k-groups,535,0.8
k-means,560,0.62
gmm,560,0.675
spectral clustering,560,0.785
kernel k-means,560,0.62
kernel k-groups,560,0.79
k-means,585,0.64
gmm,585,0.52
spectral clustering,585,0.79
kernel k-means,585,0.635
kernel k-groups,585,0.785
k-means,610,0.555
gmm,610,0.525
spectral clustering,610,0.85
kernel k-means,610,0.535
kernel k-groups,610,0.755
k-means,635,0.56
gmm,635,0.57
spectral clustering,635,0.785
kernel k-means,635,0.515
kernel k-groups,635,0.75
k-means,660,0.615
gmm,660,0.51
spectral clustering,660,0.745
kernel k-means,660,0.525
kernel k-groups,660,0.755
k-means,685,0.575
gmm,685,0.545
spectral clustering,685,0.835
kernel k-means,685,0.605
kernel k-groups,685,0.84
k-means,710,0.52
gmm,710,0.52
spectral clustering,710,0.79
kernel k-means,710,0.595
kernel k-groups,710,0.75
k-means,10,0.885
gmm,10,0.96
spectral clustering,10,0.87
kernel k-means,10,0.945
kernel k-groups,10,0.95
k-means,35,0.86
gmm,35,0.84
spectral clustering,35,0.865
kernel k-means,35,0.87
kernel k-groups,35,0.875
