method,dimension,accuracy
k-means,10,0.88
gmm,10,0.77
spectral clustering,10,0.85
kernel k-means,10,0.865
kernel k-groups,10,0.87
k-means,20,0.845
gmm,20,0.75
spectral clustering,20,0.84
kernel k-means,20,0.85
kernel k-groups,20,0.85
k-means,30,0.845
gmm,30,0.82
spectral clustering,30,0.845
kernel k-means,30,0.835
kernel k-groups,30,0.865
k-means,40,0.855
gmm,40,0.835
spectral clustering,40,0.855
kernel k-means,40,0.85
kernel k-groups,40,0.89
k-means,50,0.78
gmm,50,0.65
spectral clustering,50,0.775
kernel k-means,50,0.665
kernel k-groups,50,0.8
k-means,60,0.765
gmm,60,0.55
spectral clustering,60,0.795
kernel k-means,60,0.67
kernel k-groups,60,0.77
k-means,70,0.795
gmm,70,0.725
spectral clustering,70,0.81
kernel k-means,70,0.78
kernel k-groups,70,0.81
k-means,80,0.695
gmm,80,0.54
spectral clustering,80,0.775
kernel k-means,80,0.645
kernel k-groups,80,0.715
k-means,90,0.755
gmm,90,0.615
spectral clustering,90,0.815
kernel k-means,90,0.655
kernel k-groups,90,0.75
k-means,100,0.8
gmm,100,0.54
spectral clustering,100,0.8
kernel k-means,100,0.75
kernel k-groups,100,0.81
k-means,110,0.72
gmm,110,0.65
spectral clustering,110,0.71
kernel k-means,110,0.61
kernel k-groups,110,0.66
k-means,120,0.7
gmm,120,0.525
spectral clustering,120,0.805
kernel k-means,120,0.58
kernel k-groups,120,0.78
k-means,130,0.63
gmm,130,0.625
spectral clustering,130,0.695
kernel k-means,130,0.515
kernel k-groups,130,0.625
k-means,140,0.545
gmm,140,0.56
spectral clustering,140,0.52
kernel k-means,140,0.535
kernel k-groups,140,0.51
k-means,150,0.545
gmm,150,0.515
spectral clustering,150,0.615
kernel k-means,150,0.59
kernel k-groups,150,0.64
k-means,160,0.525
gmm,160,0.55
spectral clustering,160,0.6
kernel k-means,160,0.525
kernel k-groups,160,0.7
k-means,170,0.6
gmm,170,0.695
spectral clustering,170,0.725
kernel k-means,170,0.6
kernel k-groups,170,0.7
k-means,180,0.595
gmm,180,0.53
spectral clustering,180,0.735
kernel k-means,180,0.515
kernel k-groups,180,0.67
k-means,190,0.595
gmm,190,0.66
spectral clustering,190,0.61
kernel k-means,190,0.565
kernel k-groups,190,0.66
k-means,200,0.59
gmm,200,0.52
spectral clustering,200,0.735
kernel k-means,200,0.535
kernel k-groups,200,0.71
k-means,10,0.835
gmm,10,0.785
spectral clustering,10,0.81
kernel k-means,10,0.84
kernel k-groups,10,0.84
k-means,20,0.805
gmm,20,0.725
spectral clustering,20,0.82
kernel k-means,20,0.81
kernel k-groups,20,0.805
k-means,30,0.82
gmm,30,0.81
spectral clustering,30,0.835
kernel k-means,30,0.835
