method,points,accuracy
k-means,10,0.8
gmm,10,0.5
spectral clustering $\widetilde{\rho}_1$,10,0.7
kernel k-groups $\rho_{1}$,10,0.8
kernel k-groups $\rho_{1/2}$,10,0.8
kernel k-groups $\widetilde{\rho}_{1}$,10,0.8
k-means,20,0.6
gmm,20,0.6
spectral clustering $\widetilde{\rho}_1$,20,0.75
kernel k-groups $\rho_{1}$,20,0.7
kernel k-groups $\rho_{1/2}$,20,0.7
kernel k-groups $\widetilde{\rho}_{1}$,20,0.9
k-means,30,0.7
gmm,30,0.633333333333
spectral clustering $\widetilde{\rho}_1$,30,0.6
kernel k-groups $\rho_{1}$,30,0.733333333333
kernel k-groups $\rho_{1/2}$,30,0.733333333333
kernel k-groups $\widetilde{\rho}_{1}$,30,0.8
k-means,40,0.6
gmm,40,0.525
spectral clustering $\widetilde{\rho}_1$,40,0.575
kernel k-groups $\rho_{1}$,40,0.55
kernel k-groups $\rho_{1/2}$,40,0.575
kernel k-groups $\widetilde{\rho}_{1}$,40,0.6
k-means,50,0.62
gmm,50,0.58
spectral clustering $\widetilde{\rho}_1$,50,0.7
kernel k-groups $\rho_{1}$,50,0.74
kernel k-groups $\rho_{1/2}$,50,0.74
kernel k-groups $\widetilde{\rho}_{1}$,50,0.72
k-means,60,0.616666666667
gmm,60,0.55
spectral clustering $\widetilde{\rho}_1$,60,0.7
kernel k-groups $\rho_{1}$,60,0.583333333333
kernel k-groups $\rho_{1/2}$,60,0.816666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.833333333333
k-means,70,0.671428571429
gmm,70,0.685714285714
spectral clustering $\widetilde{\rho}_1$,70,0.6
kernel k-groups $\rho_{1}$,70,0.671428571429
kernel k-groups $\rho_{1/2}$,70,0.7
kernel k-groups $\widetilde{\rho}_{1}$,70,0.857142857143
k-means,80,0.725
gmm,80,0.6375
spectral clustering $\widetilde{\rho}_1$,80,0.75
kernel k-groups $\rho_{1}$,80,0.7625
kernel k-groups $\rho_{1/2}$,80,0.775
kernel k-groups $\widetilde{\rho}_{1}$,80,0.8125
k-means,90,0.611111111111
gmm,90,0.611111111111
spectral clustering $\widetilde{\rho}_1$,90,0.788888888889
kernel k-groups $\rho_{1}$,90,0.633333333333
kernel k-groups $\rho_{1/2}$,90,0.7
kernel k-groups $\widetilde{\rho}_{1}$,90,0.833333333333
k-means,100,0.64
gmm,100,0.61
spectral clustering $\widetilde{\rho}_1$,100,0.79
kernel k-groups $\rho_{1}$,100,0.7
kernel k-groups $\rho_{1/2}$,100,0.79
kernel k-groups $\widetilde{\rho}_{1}$,100,0.83
k-means,110,0.572727272727
gmm,110,0.581818181818
spectral clustering $\widetilde{\rho}_1$,110,0.581818181818
kernel k-groups $\rho_{1}$,110,0.627272727273
kernel k-groups $\rho_{1/2}$,110,0.636363636364
kernel k-groups $\widetilde{\rho}_{1}$,110,0.8
k-means,120,0.508333333333
gmm,120,0.683333333333
spectral clustering $\widetilde{\rho}_1$,120,0.766666666667
kernel k-groups $\rho_{1}$,120,0.733333333333
kernel k-groups $\rho_{1/2}$,120,0.775
kernel k-groups $\widetilde{\rho}_{1}$,120,0.875
k-means,130,0.676923076923
gmm,130,0.584615384615
spectral clustering $\widetilde{\rho}_1$,130,0.776923076923
kernel k-groups $\rho_{1}$,130,0.7
kernel k-groups $\rho_{1/2}$,130,0.738461538462
kernel k-groups $\widetilde{\rho}_{1}$,130,0.946153846154
k-means,140,0.514285714286
gmm,140,0.628571428571
spectral clustering $\widetilde{\rho}_1$,140,0.742857142857
kernel k-groups $\rho_{1}$,140,0.771428571429
kernel k-groups $\rho_{1/2}$,140,0.814285714286
kernel k-groups $\widetilde{\rho}_{1}$,140,0.885714285714
k-means,150,0.533333333333
gmm,150,0.54
spectral clustering $\widetilde{\rho}_1$,150,0.84
kernel k-groups $\rho_{1}$,150,0.813333333333
kernel k-groups $\rho_{1/2}$,150,0.826666666667
kernel k-groups $\widetilde{\rho}_{1}$,150,0.906666666667
k-means,160,0.6625
gmm,160,0.54375
spectral clustering $\widetilde{\rho}_1$,160,0.8
kernel k-groups $\rho_{1}$,160,0.73125
kernel k-groups $\rho_{1/2}$,160,0.79375
kernel k-groups $\widetilde{\rho}_{1}$,160,0.84375
k-means,170,0.717647058824
gmm,170,0.776470588235
spectral clustering $\widetilde{\rho}_1$,170,0.811764705882
kernel k-groups $\rho_{1}$,170,0.729411764706
kernel k-groups $\rho_{1/2}$,170,0.8
kernel k-groups $\widetilde{\rho}_{1}$,170,0.888235294118
k-means,180,0.738888888889
gmm,180,0.744444444444
spectral clustering $\widetilde{\rho}_1$,180,0.705555555556
kernel k-groups $\rho_{1}$,180,0.75
kernel k-groups $\rho_{1/2}$,180,0.822222222222
kernel k-groups $\widetilde{\rho}_{1}$,180,0.855555555556
k-means,190,0.7
gmm,190,0.726315789474
spectral clustering $\widetilde{\rho}_1$,190,0.784210526316
kernel k-groups $\rho_{1}$,190,0.768421052632
kernel k-groups $\rho_{1/2}$,190,0.784210526316
kernel k-groups $\widetilde{\rho}_{1}$,190,0.842105263158
k-means,200,0.69
gmm,200,0.635
spectral clustering $\widetilde{\rho}_1$,200,0.81
kernel k-groups $\rho_{1}$,200,0.52
kernel k-groups $\rho_{1/2}$,200,0.805
kernel k-groups $\widetilde{\rho}_{1}$,200,0.85
k-means,210,0.695238095238
gmm,210,0.695238095238
spectral clustering $\widetilde{\rho}_1$,210,0.847619047619
kernel k-groups $\rho_{1}$,210,0.728571428571
kernel k-groups $\rho_{1/2}$,210,0.795238095238
kernel k-groups $\widetilde{\rho}_{1}$,210,0.895238095238
k-means,220,0.713636363636
gmm,220,0.731818181818
spectral clustering $\widetilde{\rho}_1$,220,0.868181818182
kernel k-groups $\rho_{1}$,220,0.786363636364
kernel k-groups $\rho_{1/2}$,220,0.840909090909
kernel k-groups $\widetilde{\rho}_{1}$,220,0.909090909091
k-means,230,0.686956521739
gmm,230,0.686956521739
spectral clustering $\widetilde{\rho}_1$,230,0.847826086957
kernel k-groups $\rho_{1}$,230,0.730434782609
kernel k-groups $\rho_{1/2}$,230,0.765217391304
kernel k-groups $\widetilde{\rho}_{1}$,230,0.904347826087
k-means,240,0.691666666667
gmm,240,0.775
spectral clustering $\widetilde{\rho}_1$,240,0.875
kernel k-groups $\rho_{1}$,240,0.783333333333
kernel k-groups $\rho_{1/2}$,240,0.8875
kernel k-groups $\widetilde{\rho}_{1}$,240,0.904166666667
k-means,250,0.532
gmm,250,0.684
spectral clustering $\widetilde{\rho}_1$,250,0.8
kernel k-groups $\rho_{1}$,250,0.632
kernel k-groups $\rho_{1/2}$,250,0.66
kernel k-groups $\widetilde{\rho}_{1}$,250,0.86
k-means,260,0.673076923077
gmm,260,0.553846153846
spectral clustering $\widetilde{\rho}_1$,260,0.8
kernel k-groups $\rho_{1}$,260,0.730769230769
kernel k-groups $\rho_{1/2}$,260,0.776923076923
kernel k-groups $\widetilde{\rho}_{1}$,260,0.861538461538
k-means,270,0.692592592593
gmm,270,0.651851851852
