method,num_points,accuracy
k-means,730,0.502739726027
gmm,730,0.531506849315
kernel k-groups,730,0.856164383562
k-means,750,0.509333333333
gmm,750,0.513333333333
kernel k-groups,750,0.830666666667
k-means,770,0.524675324675
gmm,770,0.509090909091
kernel k-groups,770,0.838961038961
k-means,790,0.510126582278
gmm,790,0.530379746835
kernel k-groups,790,0.827848101266
k-means,10,0.9
gmm,10,0.9
kernel k-groups,10,0.9
k-means,30,0.666666666667
gmm,30,0.666666666667
kernel k-groups,30,0.666666666667
k-means,50,0.88
gmm,50,0.82
kernel k-groups,50,0.86
k-means,70,0.7
gmm,70,0.842857142857
kernel k-groups,70,0.771428571429
k-means,90,0.8
gmm,90,0.733333333333
kernel k-groups,90,0.8
k-means,110,0.527272727273
gmm,110,0.527272727273
kernel k-groups,110,0.827272727273
k-means,130,0.8
gmm,130,0.723076923077
kernel k-groups,130,0.830769230769
k-means,150,0.513333333333
gmm,150,0.52
kernel k-groups,150,0.886666666667
k-means,170,0.594117647059
gmm,170,0.594117647059
kernel k-groups,170,0.705882352941
k-means,190,0.594736842105
gmm,190,0.594736842105
kernel k-groups,190,0.863157894737
k-means,210,0.547619047619
gmm,210,0.547619047619
kernel k-groups,210,0.842857142857
k-means,230,0.595652173913
gmm,230,0.595652173913
kernel k-groups,230,0.826086956522
k-means,250,0.528
gmm,250,0.528
kernel k-groups,250,0.88
k-means,270,0.544444444444
gmm,270,0.544444444444
kernel k-groups,270,0.862962962963
k-means,290,0.537931034483
gmm,290,0.537931034483
kernel k-groups,290,0.537931034483
k-means,310,0.561290322581
gmm,310,0.561290322581
kernel k-groups,310,0.812903225806
k-means,330,0.50303030303
gmm,330,0.515151515152
kernel k-groups,330,0.509090909091
k-means,350,0.514285714286
gmm,350,0.514285714286
kernel k-groups,350,0.84
k-means,370,0.551351351351
gmm,370,0.551351351351
kernel k-groups,370,0.851351351351
k-means,390,0.641025641026
gmm,390,0.528205128205
kernel k-groups,390,0.825641025641
k-means,410,0.512195121951
gmm,410,0.50487804878
kernel k-groups,410,0.50487804878
k-means,430,0.541860465116
gmm,430,0.546511627907
kernel k-groups,430,0.839534883721
k-means,450,0.74
gmm,450,0.533333333333
kernel k-groups,450,0.857777777778
k-means,470,0.531914893617
gmm,470,0.53829787234
kernel k-groups,470,0.844680851064
k-means,490,0.504081632653
gmm,490,0.510204081633
kernel k-groups,490,0.861224489796
k-means,510,0.517647058824
gmm,510,0.535294117647
kernel k-groups,510,0.81568627451
k-means,530,0.730188679245
gmm,530,0.533962264151
kernel k-groups,530,0.852830188679
k-means,550,0.641818181818
gmm,550,0.550909090909
kernel k-groups,550,0.856363636364
k-means,570,0.531578947368
gmm,570,0.542105263158
kernel k-groups,570,0.828070175439
k-means,590,0.515254237288
gmm,590,0.528813559322
kernel k-groups,590,0.842372881356
k-means,610,0.527868852459
gmm,610,0.547540983607
kernel k-groups,610,0.840983606557
k-means,630,0.534920634921
gmm,630,0.544444444444
kernel k-groups,630,0.834920634921
k-means,650,0.518461538462
gmm,650,0.550769230769
kernel k-groups,650,0.526153846154
k-means,670,0.520895522388
gmm,670,0.523880597015
kernel k-groups,670,0.829850746269
k-means,690,0.508695652174
gmm,690,0.523188405797
kernel k-groups,690,0.521739130435
k-means,710,0.535211267606
gmm,710,0.542253521127
kernel k-groups,710,0.849295774648
k-means,730,0.502739726027
gmm,730,0.53698630137
kernel k-groups,730,0.853424657534
k-means,750,0.506666666667
gmm,750,0.505333333333
kernel k-groups,750,0.86
k-means,770,0.524675324675
gmm,770,0.532467532468
kernel k-groups,770,0.854545454545
k-means,790,0.516455696203
gmm,790,0.5
kernel k-groups,790,0.848101265823
k-means,10,0.5
gmm,10,0.5
kernel k-groups,10,0.5
k-means,30,0.833333333333
gmm,30,0.833333333333
kernel k-groups,30,0.833333333333
k-means,50,0.76
gmm,50,0.64
kernel k-groups,50,0.76
k-means,70,0.5
gmm,70,0.5
kernel k-groups,70,0.871428571429
k-means,90,0.844444444444
gmm,90,0.833333333333
kernel k-groups,90,0.933333333333
k-means,110,0.754545454545
gmm,110,0.5
kernel k-groups,110,0.809090909091
k-means,130,0.530769230769
gmm,130,0.530769230769
kernel k-groups,130,0.846153846154
k-means,150,0.546666666667
gmm,150,0.546666666667
kernel k-groups,150,0.673333333333
k-means,170,0.852941176471
gmm,170,0.811764705882
kernel k-groups,170,0.882352941176
k-means,190,0.552631578947
gmm,190,0.557894736842
kernel k-groups,190,0.736842105263
k-means,210,0.828571428571
gmm,210,0.757142857143
kernel k-groups,210,0.847619047619
k-means,230,0.552173913043
gmm,230,0.552173913043
kernel k-groups,230,0.830434782609
k-means,250,0.508
gmm,250,0.508
kernel k-groups,250,0.832
k-means,270,0.522222222222
gmm,270,0.522222222222
kernel k-groups,270,0.855555555556
k-means,290,0.548275862069
gmm,290,0.575862068966
kernel k-groups,290,0.837931034483
k-means,310,0.812903225806
gmm,310,0.529032258065
kernel k-groups,310,0.858064516129
k-means,330,0.554545454545
gmm,330,0.557575757576
kernel k-groups,330,0.836363636364
k-means,350,0.534285714286
gmm,350,0.542857142857
kernel k-groups,350,0.851428571429
k-means,370,0.535135135135
gmm,370,0.545945945946
kernel k-groups,370,0.540540540541
k-means,390,0.551282051282
