method,num_points,accuracy
k-means,730,0.768493150685
gmm,730,0.876712328767
kernel k-groups,730,0.816438356164
k-means,750,0.785333333333
gmm,750,0.893333333333
kernel k-groups,750,0.818666666667
k-means,770,0.797402597403
gmm,770,0.890909090909
kernel k-groups,770,0.831168831169
k-means,790,0.775949367089
gmm,790,0.877215189873
kernel k-groups,790,0.79746835443
k-means,10,1.0
gmm,10,1.0
kernel k-groups,10,1.0
k-means,30,0.833333333333
gmm,30,0.533333333333
kernel k-groups,30,0.833333333333
k-means,50,0.7
gmm,50,0.68
kernel k-groups,50,0.7
k-means,70,0.785714285714
gmm,70,0.914285714286
kernel k-groups,70,0.914285714286
k-means,90,0.788888888889
gmm,90,0.733333333333
kernel k-groups,90,0.8
k-means,110,0.827272727273
gmm,110,0.845454545455
kernel k-groups,110,0.845454545455
k-means,130,0.792307692308
gmm,130,0.869230769231
kernel k-groups,130,0.807692307692
k-means,150,0.786666666667
gmm,150,0.84
kernel k-groups,150,0.8
k-means,170,0.729411764706
gmm,170,0.694117647059
kernel k-groups,170,0.735294117647
k-means,190,0.768421052632
gmm,190,0.768421052632
kernel k-groups,190,0.789473684211
k-means,210,0.809523809524
gmm,210,0.895238095238
kernel k-groups,210,0.842857142857
k-means,230,0.726086956522
gmm,230,0.860869565217
kernel k-groups,230,0.752173913043
k-means,250,0.804
gmm,250,0.912
kernel k-groups,250,0.82
k-means,270,0.811111111111
gmm,270,0.907407407407
kernel k-groups,270,0.837037037037
k-means,290,0.765517241379
gmm,290,0.889655172414
kernel k-groups,290,0.851724137931
k-means,310,0.741935483871
gmm,310,0.777419354839
kernel k-groups,310,0.764516129032
k-means,330,0.781818181818
gmm,330,0.881818181818
kernel k-groups,330,0.815151515152
k-means,350,0.728571428571
gmm,350,0.722857142857
kernel k-groups,350,0.785714285714
k-means,370,0.821621621622
gmm,370,0.9
kernel k-groups,370,0.832432432432
k-means,390,0.769230769231
gmm,390,0.792307692308
kernel k-groups,390,0.792307692308
k-means,410,0.79756097561
gmm,410,0.882926829268
kernel k-groups,410,0.80487804878
k-means,430,0.795348837209
gmm,430,0.883720930233
kernel k-groups,430,0.818604651163
k-means,450,0.764444444444
gmm,450,0.764444444444
kernel k-groups,450,0.813333333333
k-means,470,0.8
gmm,470,0.902127659574
kernel k-groups,470,0.806382978723
k-means,490,0.773469387755
gmm,490,0.904081632653
kernel k-groups,490,0.822448979592
k-means,510,0.760784313725
gmm,510,0.888235294118
kernel k-groups,510,0.8
k-means,530,0.747169811321
gmm,530,0.747169811321
kernel k-groups,530,0.781132075472
k-means,550,0.738181818182
gmm,550,0.865454545455
kernel k-groups,550,0.789090909091
k-means,570,0.787719298246
gmm,570,0.89649122807
kernel k-groups,570,0.815789473684
k-means,590,0.774576271186
gmm,590,0.871186440678
kernel k-groups,590,0.779661016949
k-means,610,0.732786885246
gmm,610,0.873770491803
kernel k-groups,610,0.813114754098
k-means,630,0.787301587302
gmm,630,0.885714285714
kernel k-groups,630,0.812698412698
k-means,650,0.770769230769
gmm,650,0.769230769231
kernel k-groups,650,0.815384615385
k-means,670,0.789552238806
gmm,670,0.880597014925
kernel k-groups,670,0.79552238806
k-means,690,0.792753623188
gmm,690,0.884057971014
kernel k-groups,690,0.808695652174
k-means,710,0.761971830986
gmm,710,0.877464788732
kernel k-groups,710,0.785915492958
k-means,730,0.78904109589
gmm,730,0.887671232877
kernel k-groups,730,0.8
k-means,750,0.796
gmm,750,0.894666666667
kernel k-groups,750,0.816
k-means,770,0.776623376623
gmm,770,0.875324675325
kernel k-groups,770,0.801298701299
k-means,790,0.749367088608
gmm,790,0.858227848101
kernel k-groups,790,0.778481012658
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.766666666667
gmm,30,0.766666666667
kernel k-groups,30,0.766666666667
k-means,50,0.78
gmm,50,0.9
kernel k-groups,50,0.8
k-means,70,0.771428571429
gmm,70,0.814285714286
kernel k-groups,70,0.785714285714
k-means,90,0.788888888889
gmm,90,0.822222222222
kernel k-groups,90,0.822222222222
k-means,110,0.745454545455
gmm,110,0.872727272727
kernel k-groups,110,0.781818181818
k-means,130,0.884615384615
gmm,130,0.9
kernel k-groups,130,0.884615384615
k-means,150,0.706666666667
gmm,150,0.666666666667
kernel k-groups,150,0.74
k-means,170,0.782352941176
gmm,170,0.929411764706
kernel k-groups,170,0.852941176471
k-means,190,0.721052631579
gmm,190,0.721052631579
kernel k-groups,190,0.742105263158
k-means,210,0.819047619048
gmm,210,0.795238095238
kernel k-groups,210,0.828571428571
k-means,230,0.75652173913
gmm,230,0.782608695652
kernel k-groups,230,0.782608695652
k-means,250,0.812
gmm,250,0.924
kernel k-groups,250,0.844
k-means,270,0.77037037037
gmm,270,0.885185185185
kernel k-groups,270,0.833333333333
k-means,290,0.789655172414
gmm,290,0.78275862069
kernel k-groups,290,0.831034482759
k-means,310,0.787096774194
gmm,310,0.88064516129
kernel k-groups,310,0.81935483871
k-means,330,0.754545454545
gmm,330,0.866666666667
kernel k-groups,330,0.793939393939
k-means,350,0.791428571429
gmm,350,0.762857142857
kernel k-groups,350,0.805714285714
k-means,370,0.762162162162
gmm,370,0.767567567568
kernel k-groups,370,0.797297297297
k-means,390,0.805128205128
gmm,390,0.887179487179
kernel k-groups,390,0.838461538462
k-means,410,0.773170731707
gmm,410,0.865853658537
kernel k-groups,410,0.785365853659
k-means,430,0.753488372093
gmm,430,0.876744186047
kernel k-groups,430,0.762790697674
k-means,450,0.786666666667
gmm,450,0.875555555556
