method,points,accuracy
k-means,10,0.6
gmm,10,0.5
spectral clustering $\widetilde{\rho}_1$,10,0.6
kernel k-groups $\rho_{1}$,10,0.6
kernel k-groups $\rho_{1/2}$,10,0.6
kernel k-groups $\widetilde{\rho}_{1}$,10,0.6
k-means,20,0.8
gmm,20,0.8
spectral clustering $\widetilde{\rho}_1$,20,0.7
kernel k-groups $\rho_{1}$,20,0.8
kernel k-groups $\rho_{1/2}$,20,0.7
kernel k-groups $\widetilde{\rho}_{1}$,20,0.95
k-means,30,0.7
gmm,30,0.733333333333
spectral clustering $\widetilde{\rho}_1$,30,0.766666666667
kernel k-groups $\rho_{1}$,30,0.8
kernel k-groups $\rho_{1/2}$,30,0.8
kernel k-groups $\widetilde{\rho}_{1}$,30,0.866666666667
k-means,40,0.7
gmm,40,0.65
spectral clustering $\widetilde{\rho}_1$,40,0.725
kernel k-groups $\rho_{1}$,40,0.675
kernel k-groups $\rho_{1/2}$,40,0.7
kernel k-groups $\widetilde{\rho}_{1}$,40,0.875
k-means,50,0.7
gmm,50,0.66
spectral clustering $\widetilde{\rho}_1$,50,0.7
kernel k-groups $\rho_{1}$,50,0.8
kernel k-groups $\rho_{1/2}$,50,0.8
kernel k-groups $\widetilde{\rho}_{1}$,50,0.88
k-means,60,0.65
gmm,60,0.616666666667
spectral clustering $\widetilde{\rho}_1$,60,0.716666666667
kernel k-groups $\rho_{1}$,60,0.683333333333
kernel k-groups $\rho_{1/2}$,60,0.766666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.866666666667
k-means,70,0.528571428571
gmm,70,0.542857142857
spectral clustering $\widetilde{\rho}_1$,70,0.685714285714
kernel k-groups $\rho_{1}$,70,0.671428571429
kernel k-groups $\rho_{1/2}$,70,0.742857142857
kernel k-groups $\widetilde{\rho}_{1}$,70,0.871428571429
k-means,80,0.8125
gmm,80,0.575
spectral clustering $\widetilde{\rho}_1$,80,0.725
kernel k-groups $\rho_{1}$,80,0.8
kernel k-groups $\rho_{1/2}$,80,0.8125
kernel k-groups $\widetilde{\rho}_{1}$,80,0.7875
k-means,90,0.566666666667
gmm,90,0.577777777778
spectral clustering $\widetilde{\rho}_1$,90,0.777777777778
kernel k-groups $\rho_{1}$,90,0.666666666667
kernel k-groups $\rho_{1/2}$,90,0.777777777778
kernel k-groups $\widetilde{\rho}_{1}$,90,0.855555555556
k-means,100,0.68
gmm,100,0.64
spectral clustering $\widetilde{\rho}_1$,100,0.62
kernel k-groups $\rho_{1}$,100,0.71
kernel k-groups $\rho_{1/2}$,100,0.71
kernel k-groups $\widetilde{\rho}_{1}$,100,0.89
k-means,110,0.563636363636
gmm,110,0.627272727273
spectral clustering $\widetilde{\rho}_1$,110,0.736363636364
kernel k-groups $\rho_{1}$,110,0.581818181818
kernel k-groups $\rho_{1/2}$,110,0.7
kernel k-groups $\widetilde{\rho}_{1}$,110,0.854545454545
k-means,120,0.566666666667
gmm,120,0.575
spectral clustering $\widetilde{\rho}_1$,120,0.766666666667
kernel k-groups $\rho_{1}$,120,0.65
kernel k-groups $\rho_{1/2}$,120,0.633333333333
kernel k-groups $\widetilde{\rho}_{1}$,120,0.883333333333
k-means,130,0.592307692308
gmm,130,0.730769230769
spectral clustering $\widetilde{\rho}_1$,130,0.661538461538
kernel k-groups $\rho_{1}$,130,0.623076923077
kernel k-groups $\rho_{1/2}$,130,0.623076923077
kernel k-groups $\widetilde{\rho}_{1}$,130,0.846153846154
k-means,140,0.785714285714
gmm,140,0.735714285714
spectral clustering $\widetilde{\rho}_1$,140,0.85
kernel k-groups $\rho_{1}$,140,0.8
kernel k-groups $\rho_{1/2}$,140,0.871428571429
kernel k-groups $\widetilde{\rho}_{1}$,140,0.914285714286
k-means,150,0.66
gmm,150,0.733333333333
spectral clustering $\widetilde{\rho}_1$,150,0.72
kernel k-groups $\rho_{1}$,150,0.68
kernel k-groups $\rho_{1/2}$,150,0.806666666667
kernel k-groups $\widetilde{\rho}_{1}$,150,0.813333333333
k-means,160,0.61875
gmm,160,0.7
spectral clustering $\widetilde{\rho}_1$,160,0.83125
