method,points,accuracy
k-means,10,0.6
gmm,10,0.7
spectral clustering $\widetilde{\rho}_1$,10,0.8
kernel k-groups $\rho_{1}$,10,0.6
kernel k-groups $\rho_{1/2}$,10,0.6
kernel k-groups $\widetilde{\rho}_{1}$,10,0.7
k-means,20,0.7
gmm,20,0.65
spectral clustering $\widetilde{\rho}_1$,20,0.75
kernel k-groups $\rho_{1}$,20,0.75
kernel k-groups $\rho_{1/2}$,20,0.75
kernel k-groups $\widetilde{\rho}_{1}$,20,0.75
k-means,30,0.633333333333
gmm,30,0.533333333333
spectral clustering $\widetilde{\rho}_1$,30,0.633333333333
kernel k-groups $\rho_{1}$,30,0.7
kernel k-groups $\rho_{1/2}$,30,0.7
kernel k-groups $\widetilde{\rho}_{1}$,30,0.666666666667
k-means,40,0.6
gmm,40,0.675
spectral clustering $\widetilde{\rho}_1$,40,0.825
kernel k-groups $\rho_{1}$,40,0.75
kernel k-groups $\rho_{1/2}$,40,0.85
kernel k-groups $\widetilde{\rho}_{1}$,40,0.9
k-means,50,0.72
gmm,50,0.64
spectral clustering $\widetilde{\rho}_1$,50,0.76
kernel k-groups $\rho_{1}$,50,0.72
kernel k-groups $\rho_{1/2}$,50,0.86
kernel k-groups $\widetilde{\rho}_{1}$,50,0.86
k-means,60,0.516666666667
gmm,60,0.566666666667
spectral clustering $\widetilde{\rho}_1$,60,0.583333333333
kernel k-groups $\rho_{1}$,60,0.5
kernel k-groups $\rho_{1/2}$,60,0.616666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.716666666667
k-means,70,0.528571428571
gmm,70,0.514285714286
spectral clustering $\widetilde{\rho}_1$,70,0.528571428571
kernel k-groups $\rho_{1}$,70,0.514285714286
kernel k-groups $\rho_{1/2}$,70,0.528571428571
kernel k-groups $\widetilde{\rho}_{1}$,70,0.857142857143
k-means,80,0.5
gmm,80,0.5875
spectral clustering $\widetilde{\rho}_1$,80,0.6375
kernel k-groups $\rho_{1}$,80,0.5875
kernel k-groups $\rho_{1/2}$,80,0.5875
kernel k-groups $\widetilde{\rho}_{1}$,80,0.7
k-means,90,0.544444444444
gmm,90,0.655555555556
spectral clustering $\widetilde{\rho}_1$,90,0.766666666667
kernel k-groups $\rho_{1}$,90,0.811111111111
kernel k-groups $\rho_{1/2}$,90,0.822222222222
kernel k-groups $\widetilde{\rho}_{1}$,90,0.888888888889
k-means,100,0.6
gmm,100,0.55
spectral clustering $\widetilde{\rho}_1$,100,0.82
kernel k-groups $\rho_{1}$,100,0.58
kernel k-groups $\rho_{1/2}$,100,0.62
kernel k-groups $\widetilde{\rho}_{1}$,100,0.84
k-means,110,0.627272727273
gmm,110,0.554545454545
spectral clustering $\widetilde{\rho}_1$,110,0.590909090909
kernel k-groups $\rho_{1}$,110,0.663636363636
kernel k-groups $\rho_{1/2}$,110,0.645454545455
kernel k-groups $\widetilde{\rho}_{1}$,110,0.690909090909
k-means,120,0.525
gmm,120,0.541666666667
spectral clustering $\widetilde{\rho}_1$,120,0.675
kernel k-groups $\rho_{1}$,120,0.508333333333
kernel k-groups $\rho_{1/2}$,120,0.583333333333
kernel k-groups $\widetilde{\rho}_{1}$,120,0.816666666667
k-means,130,0.584615384615
gmm,130,0.730769230769
spectral clustering $\widetilde{\rho}_1$,130,0.723076923077
kernel k-groups $\rho_{1}$,130,0.830769230769
kernel k-groups $\rho_{1/2}$,130,0.838461538462
kernel k-groups $\widetilde{\rho}_{1}$,130,0.923076923077
k-means,140,0.65
gmm,140,0.55
spectral clustering $\widetilde{\rho}_1$,140,0.864285714286
kernel k-groups $\rho_{1}$,140,0.75
kernel k-groups $\rho_{1/2}$,140,0.792857142857
kernel k-groups $\widetilde{\rho}_{1}$,140,0.871428571429
k-means,150,0.606666666667
gmm,150,0.586666666667
spectral clustering $\widetilde{\rho}_1$,150,0.8
kernel k-groups $\rho_{1}$,150,0.693333333333
kernel k-groups $\rho_{1/2}$,150,0.7
kernel k-groups $\widetilde{\rho}_{1}$,150,0.873333333333
k-means,160,0.6875
gmm,160,0.7125
spectral clustering $\widetilde{\rho}_1$,160,0.75
kernel k-groups $\rho_{1}$,160,0.79375
kernel k-groups $\rho_{1/2}$,160,0.80625
kernel k-groups $\widetilde{\rho}_{1}$,160,0.86875
k-means,170,0.658823529412
gmm,170,0.588235294118
spectral clustering $\widetilde{\rho}_1$,170,0.564705882353
kernel k-groups $\rho_{1}$,170,0.676470588235
kernel k-groups $\rho_{1/2}$,170,0.576470588235
kernel k-groups $\widetilde{\rho}_{1}$,170,0.870588235294
k-means,180,0.655555555556
gmm,180,0.538888888889
spectral clustering $\widetilde{\rho}_1$,180,0.75
kernel k-groups $\rho_{1}$,180,0.744444444444
kernel k-groups $\rho_{1/2}$,180,0.788888888889
kernel k-groups $\widetilde{\rho}_{1}$,180,0.85
k-means,190,0.673684210526
gmm,190,0.642105263158
spectral clustering $\widetilde{\rho}_1$,190,0.821052631579
kernel k-groups $\rho_{1}$,190,0.715789473684
kernel k-groups $\rho_{1/2}$,190,0.826315789474
kernel k-groups $\widetilde{\rho}_{1}$,190,0.894736842105
k-means,200,0.7
gmm,200,0.54
spectral clustering $\widetilde{\rho}_1$,200,0.825
kernel k-groups $\rho_{1}$,200,0.835
kernel k-groups $\rho_{1/2}$,200,0.865
kernel k-groups $\widetilde{\rho}_{1}$,200,0.88
k-means,210,0.557142857143
gmm,210,0.7
spectral clustering $\widetilde{\rho}_1$,210,0.847619047619
kernel k-groups $\rho_{1}$,210,0.771428571429
kernel k-groups $\rho_{1/2}$,210,0.82380952381
kernel k-groups $\widetilde{\rho}_{1}$,210,0.9
k-means,220,0.609090909091
gmm,220,0.713636363636
spectral clustering $\widetilde{\rho}_1$,220,0.795454545455
kernel k-groups $\rho_{1}$,220,0.7
kernel k-groups $\rho_{1/2}$,220,0.845454545455
kernel k-groups $\widetilde{\rho}_{1}$,220,0.813636363636
k-means,230,0.591304347826
gmm,230,0.6
spectral clustering $\widetilde{\rho}_1$,230,0.808695652174
kernel k-groups $\rho_{1}$,230,0.604347826087
kernel k-groups $\rho_{1/2}$,230,0.621739130435
kernel k-groups $\widetilde{\rho}_{1}$,230,0.886956521739
k-means,240,0.7625
gmm,240,0.741666666667
spectral clustering $\widetilde{\rho}_1$,240,0.875
kernel k-groups $\rho_{1}$,240,0.8375
kernel k-groups $\rho_{1/2}$,240,0.854166666667
kernel k-groups $\widetilde{\rho}_{1}$,240,0.9125
k-means,250,0.736
gmm,250,0.756
spectral clustering $\widetilde{\rho}_1$,250,0.816
kernel k-groups $\rho_{1}$,250,0.76
kernel k-groups $\rho_{1/2}$,250,0.816
kernel k-groups $\widetilde{\rho}_{1}$,250,0.864
k-means,260,0.607692307692
gmm,260,0.684615384615
spectral clustering $\widetilde{\rho}_1$,260,0.773076923077
kernel k-groups $\rho_{1}$,260,0.773076923077
kernel k-groups $\rho_{1/2}$,260,0.803846153846
kernel k-groups $\widetilde{\rho}_{1}$,260,0.823076923077
k-means,270,0.703703703704
gmm,270,0.685185185185
spectral clustering $\widetilde{\rho}_1$,270,0.874074074074
kernel k-groups $\rho_{1}$,270,0.774074074074
kernel k-groups $\rho_{1/2}$,270,0.811111111111
kernel k-groups $\widetilde{\rho}_{1}$,270,0.9
k-means,280,0.653571428571
gmm,280,0.671428571429
spectral clustering $\widetilde{\rho}_1$,280,0.853571428571
kernel k-groups $\rho_{1}$,280,0.75
kernel k-groups $\rho_{1/2}$,280,0.764285714286
kernel k-groups $\widetilde{\rho}_{1}$,280,0.871428571429
k-means,290,0.610344827586
gmm,290,0.606896551724
spectral clustering $\widetilde{\rho}_1$,290,0.831034482759
kernel k-groups $\rho_{1}$,290,0.751724137931
kernel k-groups $\rho_{1/2}$,290,0.762068965517
kernel k-groups $\widetilde{\rho}_{1}$,290,0.868965517241
k-means,300,0.71
gmm,300,0.786666666667
spectral clustering $\widetilde{\rho}_1$,300,0.88
kernel k-groups $\rho_{1}$,300,0.856666666667
kernel k-groups $\rho_{1/2}$,300,0.873333333333
kernel k-groups $\widetilde{\rho}_{1}$,300,0.896666666667
k-means,310,0.748387096774
gmm,310,0.793548387097
spectral clustering $\widetilde{\rho}_1$,310,0.825806451613
kernel k-groups $\rho_{1}$,310,0.816129032258
kernel k-groups $\rho_{1/2}$,310,0.864516129032
kernel k-groups $\widetilde{\rho}_{1}$,310,0.890322580645
k-means,320,0.65625
gmm,320,0.7375
spectral clustering $\widetilde{\rho}_1$,320,0.853125
kernel k-groups $\rho_{1}$,320,0.753125
kernel k-groups $\rho_{1/2}$,320,0.825
kernel k-groups $\widetilde{\rho}_{1}$,320,0.871875
k-means,330,0.715151515152
gmm,330,0.615151515152
spectral clustering $\widetilde{\rho}_1$,330,0.793939393939
kernel k-groups $\rho_{1}$,330,0.733333333333
kernel k-groups $\rho_{1/2}$,330,0.787878787879
kernel k-groups $\widetilde{\rho}_{1}$,330,0.854545454545
k-means,340,0.652941176471
gmm,340,0.694117647059
spectral clustering $\widetilde{\rho}_1$,340,0.817647058824
kernel k-groups $\rho_{1}$,340,0.758823529412
kernel k-groups $\rho_{1/2}$,340,0.85
kernel k-groups $\widetilde{\rho}_{1}$,340,0.876470588235
k-means,350,0.702857142857
gmm,350,0.72
spectral clustering $\widetilde{\rho}_1$,350,0.842857142857
kernel k-groups $\rho_{1}$,350,0.765714285714
kernel k-groups $\rho_{1/2}$,350,0.82
kernel k-groups $\widetilde{\rho}_{1}$,350,0.871428571429
k-means,360,0.669444444444
gmm,360,0.738888888889
spectral clustering $\widetilde{\rho}_1$,360,0.811111111111
kernel k-groups $\rho_{1}$,360,0.713888888889
kernel k-groups $\rho_{1/2}$,360,0.758333333333
kernel k-groups $\widetilde{\rho}_{1}$,360,0.894444444444
k-means,370,0.772972972973
gmm,370,0.837837837838
spectral clustering $\widetilde{\rho}_1$,370,0.87027027027
kernel k-groups $\rho_{1}$,370,0.835135135135
kernel k-groups $\rho_{1/2}$,370,0.856756756757
kernel k-groups $\widetilde{\rho}_{1}$,370,0.894594594595
k-means,380,0.676315789474
gmm,380,0.792105263158
spectral clustering $\widetilde{\rho}_1$,380,0.821052631579
kernel k-groups $\rho_{1}$,380,0.763157894737
kernel k-groups $\rho_{1/2}$,380,0.821052631579
kernel k-groups $\widetilde{\rho}_{1}$,380,0.860526315789
k-means,390,0.720512820513
gmm,390,0.748717948718
spectral clustering $\widetilde{\rho}_1$,390,0.85641025641
kernel k-groups $\rho_{1}$,390,0.784615384615
kernel k-groups $\rho_{1/2}$,390,0.830769230769
kernel k-groups $\widetilde{\rho}_{1}$,390,0.884615384615
k-means,400,0.71
gmm,400,0.75
spectral clustering $\widetilde{\rho}_1$,400,0.84
kernel k-groups $\rho_{1}$,400,0.7625
kernel k-groups $\rho_{1/2}$,400,0.7775
kernel k-groups $\widetilde{\rho}_{1}$,400,0.8525
k-means,10,0.7
gmm,10,0.6
spectral clustering $\widetilde{\rho}_1$,10,0.6
kernel k-groups $\rho_{1}$,10,0.6
kernel k-groups $\rho_{1/2}$,10,0.6
kernel k-groups $\widetilde{\rho}_{1}$,10,0.6
k-means,20,0.8
gmm,20,0.6
spectral clustering $\widetilde{\rho}_1$,20,0.7
kernel k-groups $\rho_{1}$,20,0.8
kernel k-groups $\rho_{1/2}$,20,0.8
