method,points,accuracy
k-means,10,0.5
gmm,10,0.5
spectral clustering $\widetilde{\rho}_1$,10,0.5
kernel k-groups $\rho_{1}$,10,0.5
kernel k-groups $\rho_{1/2}$,10,0.5
kernel k-groups $\widetilde{\rho}_{1}$,10,0.5
k-means,20,0.55
gmm,20,0.65
spectral clustering $\widetilde{\rho}_1$,20,0.75
kernel k-groups $\rho_{1}$,20,0.65
kernel k-groups $\rho_{1/2}$,20,0.65
kernel k-groups $\widetilde{\rho}_{1}$,20,0.75
k-means,30,0.6
gmm,30,0.533333333333
spectral clustering $\widetilde{\rho}_1$,30,0.7
kernel k-groups $\rho_{1}$,30,0.5
kernel k-groups $\rho_{1/2}$,30,0.5
kernel k-groups $\widetilde{\rho}_{1}$,30,0.866666666667
k-means,40,0.625
gmm,40,0.5
spectral clustering $\widetilde{\rho}_1$,40,0.6
kernel k-groups $\rho_{1}$,40,0.7
kernel k-groups $\rho_{1/2}$,40,0.7
kernel k-groups $\widetilde{\rho}_{1}$,40,0.725
k-means,50,0.7
gmm,50,0.68
spectral clustering $\widetilde{\rho}_1$,50,0.7
kernel k-groups $\rho_{1}$,50,0.72
kernel k-groups $\rho_{1/2}$,50,0.68
kernel k-groups $\widetilde{\rho}_{1}$,50,0.72
k-means,60,0.583333333333
gmm,60,0.7
spectral clustering $\widetilde{\rho}_1$,60,0.65
kernel k-groups $\rho_{1}$,60,0.533333333333
kernel k-groups $\rho_{1/2}$,60,0.533333333333
kernel k-groups $\widetilde{\rho}_{1}$,60,0.683333333333
k-means,70,0.671428571429
gmm,70,0.642857142857
spectral clustering $\widetilde{\rho}_1$,70,0.628571428571
kernel k-groups $\rho_{1}$,70,0.7
kernel k-groups $\rho_{1/2}$,70,0.742857142857
kernel k-groups $\widetilde{\rho}_{1}$,70,0.857142857143
k-means,80,0.6
gmm,80,0.5625
spectral clustering $\widetilde{\rho}_1$,80,0.5125
kernel k-groups $\rho_{1}$,80,0.6125
kernel k-groups $\rho_{1/2}$,80,0.5625
kernel k-groups $\widetilde{\rho}_{1}$,80,0.8375
k-means,90,0.588888888889
gmm,90,0.677777777778
spectral clustering $\widetilde{\rho}_1$,90,0.744444444444
kernel k-groups $\rho_{1}$,90,0.822222222222
kernel k-groups $\rho_{1/2}$,90,0.9
kernel k-groups $\widetilde{\rho}_{1}$,90,0.944444444444
k-means,100,0.76
gmm,100,0.73
spectral clustering $\widetilde{\rho}_1$,100,0.65
kernel k-groups $\rho_{1}$,100,0.73
