method,num_points,accuracy
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.833333333333
gmm,30,0.833333333333
kernel k-groups,30,0.833333333333
k-means,50,0.7
gmm,50,0.68
kernel k-groups,50,0.8
k-means,70,0.571428571429
gmm,70,0.571428571429
kernel k-groups,70,0.571428571429
k-means,90,0.666666666667
gmm,90,0.611111111111
kernel k-groups,90,0.855555555556
k-means,110,0.518181818182
gmm,110,0.509090909091
kernel k-groups,110,0.872727272727
k-means,130,0.5
gmm,130,0.5
kernel k-groups,130,0.5
k-means,150,0.6
gmm,150,0.6
kernel k-groups,150,0.853333333333
k-means,170,0.882352941176
gmm,170,0.805882352941
kernel k-groups,170,0.905882352941
k-means,190,0.552631578947
gmm,190,0.542105263158
kernel k-groups,190,0.794736842105
k-means,210,0.538095238095
gmm,210,0.538095238095
kernel k-groups,210,0.861904761905
k-means,230,0.504347826087
gmm,230,0.504347826087
kernel k-groups,230,0.865217391304
k-means,250,0.524
gmm,250,0.524
kernel k-groups,250,0.856
k-means,270,0.651851851852
gmm,270,0.577777777778
kernel k-groups,270,0.859259259259
k-means,290,0.758620689655
gmm,290,0.820689655172
kernel k-groups,290,0.813793103448
k-means,310,0.5
gmm,310,0.509677419355
kernel k-groups,310,0.503225806452
k-means,330,0.50303030303
gmm,330,0.521212121212
kernel k-groups,330,0.50303030303
k-means,350,0.514285714286
gmm,350,0.502857142857
kernel k-groups,350,0.86
k-means,370,0.545945945946
gmm,370,0.554054054054
kernel k-groups,370,0.840540540541
k-means,390,0.546153846154
gmm,390,0.551282051282
kernel k-groups,390,0.851282051282
k-means,410,0.575609756098
gmm,410,0.541463414634
kernel k-groups,410,0.829268292683
k-means,430,0.532558139535
gmm,430,0.555813953488
kernel k-groups,430,0.804651162791
k-means,450,0.515555555556
gmm,450,0.535555555556
kernel k-groups,450,0.848888888889
k-means,470,0.508510638298
gmm,470,0.531914893617
kernel k-groups,470,0.81914893617
k-means,490,0.504081632653
gmm,490,0.512244897959
kernel k-groups,490,0.820408163265
k-means,510,0.505882352941
gmm,510,0.511764705882
kernel k-groups,510,0.835294117647
k-means,530,0.503773584906
gmm,530,0.524528301887
kernel k-groups,530,0.507547169811
k-means,550,0.503636363636
gmm,550,0.518181818182
kernel k-groups,550,0.841818181818
k-means,570,0.533333333333
gmm,570,0.547368421053
kernel k-groups,570,0.864912280702
k-means,590,0.513559322034
gmm,590,0.516949152542
kernel k-groups,590,0.866101694915
k-means,610,0.529508196721
gmm,610,0.545901639344
kernel k-groups,610,0.854098360656
