method,points,accuracy
k-means,0,0.876666666667
gmm,0,0.86
spectral clustering,0,0.84
kernel k-means,0,0.88
kernel k-groups,0,0.88
k-means,10,0.88
gmm,10,0.873333333333
spectral clustering,10,0.863333333333
kernel k-means,10,0.883333333333
kernel k-groups,10,0.883333333333
k-means,20,0.873333333333
gmm,20,0.89
spectral clustering,20,0.873333333333
kernel k-means,20,0.866666666667
kernel k-groups,20,0.873333333333
k-means,30,0.906666666667
gmm,30,0.893333333333
spectral clustering,30,0.85
kernel k-means,30,0.91
kernel k-groups,30,0.9
k-means,40,0.913333333333
gmm,40,0.926666666667
spectral clustering,40,0.9
kernel k-means,40,0.92
kernel k-groups,40,0.923333333333
k-means,50,0.893333333333
gmm,50,0.883333333333
spectral clustering,50,0.86
kernel k-means,50,0.903333333333
kernel k-groups,50,0.906666666667
k-means,60,0.93
gmm,60,0.923333333333
spectral clustering,60,0.916666666667
kernel k-means,60,0.926666666667
kernel k-groups,60,0.926666666667
k-means,70,0.883333333333
gmm,70,0.883333333333
spectral clustering,70,0.89
kernel k-means,70,0.886666666667
kernel k-groups,70,0.89
k-means,80,0.933333333333
gmm,80,0.91
spectral clustering,80,0.916666666667
kernel k-means,80,0.93
kernel k-groups,80,0.933333333333
k-means,90,0.916666666667
gmm,90,0.916666666667
spectral clustering,90,0.83
kernel k-means,90,0.923333333333
kernel k-groups,90,0.92
k-means,100,0.916666666667
gmm,100,0.903333333333
spectral clustering,100,0.876666666667
kernel k-means,100,0.916666666667
kernel k-groups,100,0.913333333333
k-means,110,0.903333333333
gmm,110,0.9
spectral clustering,110,0.89
kernel k-means,110,0.9
kernel k-groups,110,0.903333333333
k-means,120,0.91
gmm,120,0.913333333333
spectral clustering,120,0.91
kernel k-means,120,0.91
kernel k-groups,120,0.913333333333
k-means,130,0.943333333333
gmm,130,0.93
spectral clustering,130,0.923333333333
kernel k-means,130,0.933333333333
kernel k-groups,130,0.916666666667
k-means,140,0.913333333333
gmm,140,0.91
spectral clustering,140,0.876666666667
kernel k-means,140,0.913333333333
kernel k-groups,140,0.913333333333
k-means,150,0.896666666667
gmm,150,0.923333333333
spectral clustering,150,0.923333333333
kernel k-means,150,0.9
kernel k-groups,150,0.896666666667
k-means,160,0.913333333333
gmm,160,0.9
spectral clustering,160,0.833333333333
kernel k-means,160,0.91
kernel k-groups,160,0.903333333333
k-means,170,0.836666666667
gmm,170,0.843333333333
spectral clustering,170,0.7
kernel k-means,170,0.753333333333
kernel k-groups,170,0.783333333333
k-means,180,0.896666666667
gmm,180,0.87
spectral clustering,180,0.756666666667
kernel k-means,180,0.67
kernel k-groups,180,0.653333333333
k-means,190,0.923333333333
gmm,190,0.95
spectral clustering,190,0.93
kernel k-means,190,0.923333333333
kernel k-groups,190,0.916666666667
k-means,200,0.716666666667
gmm,200,0.926666666667
spectral clustering,200,0.59
kernel k-means,200,0.573333333333
kernel k-groups,200,0.576666666667
k-means,210,0.596666666667
gmm,210,0.923333333333
spectral clustering,210,0.536666666667
kernel k-means,210,0.563333333333
kernel k-groups,210,0.546666666667
k-means,220,0.536666666667
gmm,220,0.846666666667
spectral clustering,220,0.616666666667
kernel k-means,220,0.596666666667
kernel k-groups,220,0.6
k-means,230,0.566666666667
gmm,230,0.893333333333
spectral clustering,230,0.573333333333
kernel k-means,230,0.573333333333
kernel k-groups,230,0.536666666667
k-means,240,0.563333333333
gmm,240,0.88
spectral clustering,240,0.516666666667
kernel k-means,240,0.563333333333
kernel k-groups,240,0.526666666667
k-means,0,0.86
gmm,0,0.86
spectral clustering,0,0.83
kernel k-means,0,0.863333333333
kernel k-groups,0,0.863333333333
k-means,10,0.916666666667
gmm,10,0.93
spectral clustering,10,0.893333333333
kernel k-means,10,0.92
kernel k-groups,10,0.923333333333
k-means,20,0.9
gmm,20,0.9
spectral clustering,20,0.87
kernel k-means,20,0.9
kernel k-groups,20,0.9
k-means,30,0.91
gmm,30,0.913333333333
spectral clustering,30,0.91
kernel k-means,30,0.9
kernel k-groups,30,0.91
k-means,40,0.896666666667
gmm,40,0.886666666667
spectral clustering,40,0.89
kernel k-means,40,0.9
kernel k-groups,40,0.9
k-means,50,0.91
gmm,50,0.91
spectral clustering,50,0.88
kernel k-means,50,0.91
kernel k-groups,50,0.91
k-means,60,0.913333333333
gmm,60,0.926666666667
spectral clustering,60,0.893333333333
kernel k-means,60,0.92
kernel k-groups,60,0.92
k-means,70,0.903333333333
gmm,70,0.906666666667
spectral clustering,70,0.886666666667
kernel k-means,70,0.9
kernel k-groups,70,0.903333333333
k-means,80,0.903333333333
gmm,80,0.906666666667
spectral clustering,80,0.87
kernel k-means,80,0.903333333333
kernel k-groups,80,0.903333333333
k-means,90,0.913333333333
gmm,90,0.923333333333
spectral clustering,90,0.903333333333
kernel k-means,90,0.893333333333
kernel k-groups,90,0.91
k-means,100,0.916666666667
gmm,100,0.91
spectral clustering,100,0.9
kernel k-means,100,0.896666666667
kernel k-groups,100,0.906666666667
k-means,110,0.903333333333
gmm,110,0.903333333333
spectral clustering,110,0.9
kernel k-means,110,0.903333333333
kernel k-groups,110,0.903333333333
k-means,120,0.926666666667
gmm,120,0.933333333333
spectral clustering,120,0.913333333333
kernel k-means,120,0.916666666667
kernel k-groups,120,0.916666666667
k-means,130,0.913333333333
gmm,130,0.906666666667
spectral clustering,130,0.9
kernel k-means,130,0.9
kernel k-groups,130,0.91
k-means,140,0.93
gmm,140,0.916666666667
spectral clustering,140,0.923333333333
kernel k-means,140,0.91
kernel k-groups,140,0.886666666667
k-means,150,0.68
gmm,150,0.903333333333
spectral clustering,150,0.666666666667
kernel k-means,150,0.68
kernel k-groups,150,0.676666666667
k-means,160,0.91
gmm,160,0.92
spectral clustering,160,0.903333333333
kernel k-means,160,0.903333333333
kernel k-groups,160,0.906666666667
k-means,170,0.87
gmm,170,0.88
spectral clustering,170,0.776666666667
kernel k-means,170,0.853333333333
kernel k-groups,170,0.853333333333
k-means,180,0.88
gmm,180,0.936666666667
spectral clustering,180,0.85
kernel k-means,180,0.676666666667
kernel k-groups,180,0.67
k-means,190,0.95
gmm,190,0.943333333333
spectral clustering,190,0.936666666667
kernel k-means,190,0.9
kernel k-groups,190,0.906666666667
k-means,200,0.633333333333
gmm,200,0.886666666667
spectral clustering,200,0.54
kernel k-means,200,0.553333333333
kernel k-groups,200,0.593333333333
k-means,210,0.913333333333
gmm,210,0.933333333333
spectral clustering,210,0.536666666667
kernel k-means,210,0.506666666667
kernel k-groups,210,0.66
k-means,220,0.603333333333
gmm,220,0.886666666667
spectral clustering,220,0.583333333333
kernel k-means,220,0.576666666667
kernel k-groups,220,0.59
k-means,230,0.54
gmm,230,0.876666666667
spectral clustering,230,0.516666666667
kernel k-means,230,0.54
kernel k-groups,230,0.54
k-means,240,0.57
gmm,240,0.883333333333
spectral clustering,240,0.58
kernel k-means,240,0.586666666667
kernel k-groups,240,0.563333333333
k-means,0,0.896666666667
gmm,0,0.9
spectral clustering,0,0.893333333333
kernel k-means,0,0.9
kernel k-groups,0,0.893333333333
k-means,10,0.88
gmm,10,0.883333333333
spectral clustering,10,0.853333333333
kernel k-means,10,0.88
kernel k-groups,10,0.88
k-means,20,0.873333333333
gmm,20,0.88
spectral clustering,20,0.856666666667
kernel k-means,20,0.883333333333
kernel k-groups,20,0.89
k-means,30,0.906666666667
gmm,30,0.91
spectral clustering,30,0.883333333333
kernel k-means,30,0.913333333333
kernel k-groups,30,0.91
k-means,40,0.92
gmm,40,0.92
spectral clustering,40,0.9
kernel k-means,40,0.92
kernel k-groups,40,0.92
k-means,50,0.893333333333
gmm,50,0.906666666667
spectral clustering,50,0.873333333333
kernel k-means,50,0.896666666667
kernel k-groups,50,0.896666666667
k-means,60,0.91
gmm,60,0.9
spectral clustering,60,0.893333333333
kernel k-means,60,0.913333333333
kernel k-groups,60,0.913333333333
k-means,70,0.916666666667
gmm,70,0.906666666667
spectral clustering,70,0.873333333333
kernel k-means,70,0.916666666667
kernel k-groups,70,0.92
k-means,80,0.9
gmm,80,0.886666666667
spectral clustering,80,0.89
kernel k-means,80,0.9
kernel k-groups,80,0.9
k-means,90,0.916666666667
gmm,90,0.913333333333
spectral clustering,90,0.856666666667
kernel k-means,90,0.91
kernel k-groups,90,0.91
k-means,100,0.893333333333
