method,num_points,accuracy
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.566666666667
gmm,30,0.566666666667
kernel k-groups,30,0.566666666667
k-means,50,0.62
gmm,50,0.62
kernel k-groups,50,0.62
k-means,70,0.885714285714
gmm,70,0.871428571429
kernel k-groups,70,0.914285714286
k-means,90,0.522222222222
gmm,90,0.522222222222
kernel k-groups,90,0.522222222222
k-means,110,0.609090909091
gmm,110,0.536363636364
kernel k-groups,110,0.772727272727
k-means,130,0.576923076923
gmm,130,0.576923076923
kernel k-groups,130,0.8
k-means,150,0.506666666667
gmm,150,0.506666666667
kernel k-groups,150,0.853333333333
k-means,170,0.788235294118
gmm,170,0.829411764706
kernel k-groups,170,0.888235294118
k-means,190,0.547368421053
gmm,190,0.563157894737
kernel k-groups,190,0.842105263158
k-means,210,0.680952380952
gmm,210,0.538095238095
kernel k-groups,210,0.847619047619
k-means,230,0.539130434783
gmm,230,0.569565217391
kernel k-groups,230,0.539130434783
k-means,250,0.52
gmm,250,0.524
kernel k-groups,250,0.84
k-means,270,0.8
gmm,270,0.507407407407
kernel k-groups,270,0.811111111111
k-means,290,0.510344827586
gmm,290,0.510344827586
kernel k-groups,290,0.510344827586
k-means,310,0.516129032258
gmm,310,0.506451612903
kernel k-groups,310,0.803225806452
k-means,330,0.50303030303
gmm,330,0.539393939394
kernel k-groups,330,0.812121212121
k-means,350,0.528571428571
gmm,350,0.508571428571
kernel k-groups,350,0.845714285714
k-means,370,0.52972972973
gmm,370,0.52972972973
kernel k-groups,370,0.52972972973
k-means,390,0.502564102564
gmm,390,0.510256410256
kernel k-groups,390,0.835897435897
k-means,410,0.548780487805
gmm,410,0.563414634146
kernel k-groups,410,0.753658536585
k-means,430,0.525581395349
gmm,430,0.546511627907
kernel k-groups,430,0.820930232558
k-means,450,0.835555555556
gmm,450,0.531111111111
kernel k-groups,450,0.848888888889
k-means,470,0.506382978723
gmm,470,0.51914893617
kernel k-groups,470,0.853191489362
k-means,490,0.526530612245
gmm,490,0.524489795918
kernel k-groups,490,0.84693877551
k-means,510,0.541176470588
gmm,510,0.517647058824
kernel k-groups,510,0.854901960784
k-means,530,0.516981132075
gmm,530,0.539622641509
kernel k-groups,530,0.790566037736
k-means,550,0.547272727273
gmm,550,0.550909090909
kernel k-groups,550,0.849090909091
k-means,570,0.508771929825
gmm,570,0.533333333333
kernel k-groups,570,0.859649122807
k-means,590,0.527118644068
gmm,590,0.518644067797
kernel k-groups,590,0.798305084746
k-means,610,0.508196721311
gmm,610,0.518032786885
kernel k-groups,610,0.501639344262
k-means,630,0.51746031746
gmm,630,0.501587301587
kernel k-groups,630,0.868253968254
k-means,650,0.516923076923
gmm,650,0.516923076923
kernel k-groups,650,0.516923076923
k-means,670,0.537313432836
gmm,670,0.511940298507
kernel k-groups,670,0.825373134328
k-means,690,0.569565217391
gmm,690,0.523188405797
kernel k-groups,690,0.850724637681
k-means,710,0.512676056338
gmm,710,0.521126760563
kernel k-groups,710,0.839436619718
k-means,730,0.51095890411
gmm,730,0.541095890411
kernel k-groups,730,0.821917808219
k-means,750,0.502666666667
gmm,750,0.502666666667
kernel k-groups,750,0.502666666667
k-means,770,0.502597402597
gmm,770,0.503896103896
kernel k-groups,770,0.842857142857
k-means,790,0.501265822785
gmm,790,0.525316455696
kernel k-groups,790,0.840506329114
k-means,10,0.7
gmm,10,0.6
kernel k-groups,10,0.5
k-means,30,0.833333333333
gmm,30,0.8
kernel k-groups,30,0.833333333333
k-means,50,0.56
gmm,50,0.56
kernel k-groups,50,0.86
k-means,70,0.842857142857
gmm,70,0.8
kernel k-groups,70,0.842857142857
k-means,90,0.544444444444
gmm,90,0.544444444444
kernel k-groups,90,0.544444444444
k-means,110,0.509090909091
gmm,110,0.509090909091
kernel k-groups,110,0.818181818182
k-means,130,0.538461538462
gmm,130,0.538461538462
kernel k-groups,130,0.738461538462
k-means,150,0.513333333333
gmm,150,0.513333333333
kernel k-groups,150,0.82
k-means,170,0.823529411765
gmm,170,0.529411764706
kernel k-groups,170,0.858823529412
k-means,190,0.510526315789
gmm,190,0.505263157895
kernel k-groups,190,0.852631578947
k-means,210,0.590476190476
gmm,210,0.6
kernel k-groups,210,0.6
k-means,230,0.860869565217
gmm,230,0.778260869565
kernel k-groups,230,0.878260869565
k-means,250,0.532
gmm,250,0.536
kernel k-groups,250,0.796
k-means,270,0.525925925926
gmm,270,0.503703703704
kernel k-groups,270,0.822222222222
k-means,290,0.51724137931
gmm,290,0.531034482759
kernel k-groups,290,0.841379310345
k-means,310,0.5
gmm,310,0.516129032258
kernel k-groups,310,0.867741935484
k-means,330,0.581818181818
gmm,330,0.60303030303
kernel k-groups,330,0.581818181818
k-means,350,0.514285714286
gmm,350,0.522857142857
kernel k-groups,350,0.851428571429
k-means,370,0.521621621622
gmm,370,0.540540540541
kernel k-groups,370,0.821621621622
k-means,390,0.546153846154
gmm,390,0.523076923077
kernel k-groups,390,0.848717948718
k-means,410,0.631707317073
gmm,410,0.551219512195
kernel k-groups,410,0.868292682927
k-means,430,0.511627906977
