method,points,accuracy
kernel k-groups $\widetilde{\rho}_{1}$,240,0.8625
k-means,250,0.584
gmm,250,0.504
spectral clustering $\widetilde{\rho}_1$,250,0.836
kernel k-groups $\rho_{1}$,250,0.724
kernel k-groups $\rho_{1/2}$,250,0.8
kernel k-groups $\widetilde{\rho}_{1}$,250,0.888
k-means,260,0.653846153846
gmm,260,0.646153846154
spectral clustering $\widetilde{\rho}_1$,260,0.773076923077
kernel k-groups $\rho_{1}$,260,0.665384615385
kernel k-groups $\rho_{1/2}$,260,0.746153846154
kernel k-groups $\widetilde{\rho}_{1}$,260,0.85
k-means,270,0.725925925926
gmm,270,0.722222222222
spectral clustering $\widetilde{\rho}_1$,270,0.77037037037
kernel k-groups $\rho_{1}$,270,0.759259259259
kernel k-groups $\rho_{1/2}$,270,0.792592592593
kernel k-groups $\widetilde{\rho}_{1}$,270,0.866666666667
k-means,280,0.732142857143
gmm,280,0.785714285714
spectral clustering $\widetilde{\rho}_1$,280,0.835714285714
kernel k-groups $\rho_{1}$,280,0.782142857143
kernel k-groups $\rho_{1/2}$,280,0.792857142857
kernel k-groups $\widetilde{\rho}_{1}$,280,0.857142857143
k-means,290,0.731034482759
gmm,290,0.741379310345
spectral clustering $\widetilde{\rho}_1$,290,0.837931034483
kernel k-groups $\rho_{1}$,290,0.768965517241
kernel k-groups $\rho_{1/2}$,290,0.824137931034
kernel k-groups $\widetilde{\rho}_{1}$,290,0.875862068966
k-means,300,0.523333333333
gmm,300,0.536666666667
spectral clustering $\widetilde{\rho}_1$,300,0.833333333333
kernel k-groups $\rho_{1}$,300,0.67
kernel k-groups $\rho_{1/2}$,300,0.756666666667
kernel k-groups $\widetilde{\rho}_{1}$,300,0.856666666667
k-means,310,0.722580645161
gmm,310,0.754838709677
spectral clustering $\widetilde{\rho}_1$,310,0.825806451613
kernel k-groups $\rho_{1}$,310,0.741935483871
kernel k-groups $\rho_{1/2}$,310,0.758064516129
kernel k-groups $\widetilde{\rho}_{1}$,310,0.890322580645
k-means,320,0.7625
gmm,320,0.75625
spectral clustering $\widetilde{\rho}_1$,320,0.88125
kernel k-groups $\rho_{1}$,320,0.815625
kernel k-groups $\rho_{1/2}$,320,0.825
kernel k-groups $\widetilde{\rho}_{1}$,320,0.89375
k-means,330,0.60303030303
gmm,330,0.660606060606
spectral clustering $\widetilde{\rho}_1$,330,0.854545454545
kernel k-groups $\rho_{1}$,330,0.715151515152
kernel k-groups $\rho_{1/2}$,330,0.778787878788
kernel k-groups $\widetilde{\rho}_{1}$,330,0.9
k-means,340,0.517647058824
gmm,340,0.532352941176
spectral clustering $\widetilde{\rho}_1$,340,0.858823529412
kernel k-groups $\rho_{1}$,340,0.738235294118
kernel k-groups $\rho_{1/2}$,340,0.797058823529
kernel k-groups $\widetilde{\rho}_{1}$,340,0.891176470588
k-means,350,0.72
gmm,350,0.802857142857
spectral clustering $\widetilde{\rho}_1$,350,0.825714285714
kernel k-groups $\rho_{1}$,350,0.785714285714
kernel k-groups $\rho_{1/2}$,350,0.82
kernel k-groups $\widetilde{\rho}_{1}$,350,0.868571428571
k-means,360,0.755555555556
gmm,360,0.819444444444
spectral clustering $\widetilde{\rho}_1$,360,0.833333333333
kernel k-groups $\rho_{1}$,360,0.775
kernel k-groups $\rho_{1/2}$,360,0.819444444444
kernel k-groups $\widetilde{\rho}_{1}$,360,0.894444444444
k-means,370,0.675675675676
gmm,370,0.659459459459
spectral clustering $\widetilde{\rho}_1$,370,0.840540540541
kernel k-groups $\rho_{1}$,370,0.689189189189
kernel k-groups $\rho_{1/2}$,370,0.772972972973
kernel k-groups $\widetilde{\rho}_{1}$,370,0.891891891892
k-means,380,0.731578947368
gmm,380,0.776315789474
spectral clustering $\widetilde{\rho}_1$,380,0.818421052632
kernel k-groups $\rho_{1}$,380,0.757894736842
kernel k-groups $\rho_{1/2}$,380,0.789473684211
kernel k-groups $\widetilde{\rho}_{1}$,380,0.868421052632
k-means,390,0.735897435897
gmm,390,0.75641025641
spectral clustering $\widetilde{\rho}_1$,390,0.797435897436
kernel k-groups $\rho_{1}$,390,0.75641025641
kernel k-groups $\rho_{1/2}$,390,0.761538461538
kernel k-groups $\widetilde{\rho}_{1}$,390,0.853846153846
k-means,400,0.6325
gmm,400,0.7075
