method,points,accuracy
spectral clustering $\widetilde{\rho}_1$,100,0.8
kernel k-groups $\rho_{1}$,100,0.59
kernel k-groups $\rho_{1/2}$,100,0.65
kernel k-groups $\widetilde{\rho}_{1}$,100,0.85
k-means,110,0.6
gmm,110,0.6
spectral clustering $\widetilde{\rho}_1$,110,0.736363636364
kernel k-groups $\rho_{1}$,110,0.536363636364
kernel k-groups $\rho_{1/2}$,110,0.563636363636
kernel k-groups $\widetilde{\rho}_{1}$,110,0.936363636364
k-means,120,0.55
gmm,120,0.633333333333
spectral clustering $\widetilde{\rho}_1$,120,0.858333333333
kernel k-groups $\rho_{1}$,120,0.766666666667
kernel k-groups $\rho_{1/2}$,120,0.783333333333
kernel k-groups $\widetilde{\rho}_{1}$,120,0.9
k-means,130,0.684615384615
gmm,130,0.684615384615
spectral clustering $\widetilde{\rho}_1$,130,0.715384615385
kernel k-groups $\rho_{1}$,130,0.761538461538
kernel k-groups $\rho_{1/2}$,130,0.784615384615
kernel k-groups $\widetilde{\rho}_{1}$,130,0.846153846154
k-means,140,0.592857142857
gmm,140,0.578571428571
spectral clustering $\widetilde{\rho}_1$,140,0.757142857143
kernel k-groups $\rho_{1}$,140,0.614285714286
kernel k-groups $\rho_{1/2}$,140,0.614285714286
kernel k-groups $\widetilde{\rho}_{1}$,140,0.85
k-means,150,0.686666666667
gmm,150,0.733333333333
spectral clustering $\widetilde{\rho}_1$,150,0.7
kernel k-groups $\rho_{1}$,150,0.713333333333
kernel k-groups $\rho_{1/2}$,150,0.72
kernel k-groups $\widetilde{\rho}_{1}$,150,0.82
k-means,160,0.625
gmm,160,0.53125
spectral clustering $\widetilde{\rho}_1$,160,0.80625
kernel k-groups $\rho_{1}$,160,0.7375
kernel k-groups $\rho_{1/2}$,160,0.76875
kernel k-groups $\widetilde{\rho}_{1}$,160,0.90625
k-means,170,0.623529411765
gmm,170,0.705882352941
spectral clustering $\widetilde{\rho}_1$,170,0.723529411765
kernel k-groups $\rho_{1}$,170,0.729411764706
kernel k-groups $\rho_{1/2}$,170,0.758823529412
kernel k-groups $\widetilde{\rho}_{1}$,170,0.805882352941
k-means,180,0.716666666667
gmm,180,0.538888888889
spectral clustering $\widetilde{\rho}_1$,180,0.822222222222
kernel k-groups $\rho_{1}$,180,0.744444444444
kernel k-groups $\rho_{1/2}$,180,0.783333333333
kernel k-groups $\widetilde{\rho}_{1}$,180,0.844444444444
k-means,190,0.731578947368
gmm,190,0.815789473684
spectral clustering $\widetilde{\rho}_1$,190,0.794736842105
kernel k-groups $\rho_{1}$,190,0.815789473684
kernel k-groups $\rho_{1/2}$,190,0.847368421053
kernel k-groups $\widetilde{\rho}_{1}$,190,0.936842105263
k-means,200,0.655
gmm,200,0.585
spectral clustering $\widetilde{\rho}_1$,200,0.8
kernel k-groups $\rho_{1}$,200,0.65
kernel k-groups $\rho_{1/2}$,200,0.685
kernel k-groups $\widetilde{\rho}_{1}$,200,0.79
k-means,210,0.647619047619
gmm,210,0.638095238095
spectral clustering $\widetilde{\rho}_1$,210,0.814285714286
kernel k-groups $\rho_{1}$,210,0.77619047619
kernel k-groups $\rho_{1/2}$,210,0.814285714286
kernel k-groups $\widetilde{\rho}_{1}$,210,0.890476190476
k-means,220,0.636363636364
gmm,220,0.518181818182
spectral clustering $\widetilde{\rho}_1$,220,0.754545454545
kernel k-groups $\rho_{1}$,220,0.7
kernel k-groups $\rho_{1/2}$,220,0.713636363636
kernel k-groups $\widetilde{\rho}_{1}$,220,0.9
k-means,230,0.582608695652
gmm,230,0.617391304348
spectral clustering $\widetilde{\rho}_1$,230,0.847826086957
kernel k-groups $\rho_{1}$,230,0.739130434783
kernel k-groups $\rho_{1/2}$,230,0.804347826087
kernel k-groups $\widetilde{\rho}_{1}$,230,0.882608695652
k-means,240,0.525
gmm,240,0.579166666667
spectral clustering $\widetilde{\rho}_1$,240,0.858333333333
kernel k-groups $\rho_{1}$,240,0.745833333333
kernel k-groups $\rho_{1/2}$,240,0.795833333333
kernel k-groups $\widetilde{\rho}_{1}$,240,0.879166666667
k-means,250,0.72
gmm,250,0.58
spectral clustering $\widetilde{\rho}_1$,250,0.808
kernel k-groups $\rho_{1}$,250,0.82
kernel k-groups $\rho_{1/2}$,250,0.848
kernel k-groups $\widetilde{\rho}_{1}$,250,0.868
k-means,260,0.623076923077
gmm,260,0.730769230769
spectral clustering $\widetilde{\rho}_1$,260,0.788461538462
kernel k-groups $\rho_{1}$,260,0.715384615385
kernel k-groups $\rho_{1/2}$,260,0.746153846154
kernel k-groups $\widetilde{\rho}_{1}$,260,0.834615384615
k-means,270,0.733333333333
gmm,270,0.755555555556
spectral clustering $\widetilde{\rho}_1$,270,0.859259259259
kernel k-groups $\rho_{1}$,270,0.755555555556
kernel k-groups $\rho_{1/2}$,270,0.777777777778
kernel k-groups $\widetilde{\rho}_{1}$,270,0.87037037037
k-means,280,0.564285714286
gmm,280,0.646428571429
spectral clustering $\widetilde{\rho}_1$,280,0.8
kernel k-groups $\rho_{1}$,280,0.646428571429
kernel k-groups $\rho_{1/2}$,280,0.728571428571
kernel k-groups $\widetilde{\rho}_{1}$,280,0.875
k-means,290,0.624137931034
gmm,290,0.768965517241
spectral clustering $\widetilde{\rho}_1$,290,0.844827586207
kernel k-groups $\rho_{1}$,290,0.793103448276
kernel k-groups $\rho_{1/2}$,290,0.851724137931
kernel k-groups $\widetilde{\rho}_{1}$,290,0.868965517241
k-means,300,0.673333333333
gmm,300,0.663333333333
spectral clustering $\widetilde{\rho}_1$,300,0.833333333333
kernel k-groups $\rho_{1}$,300,0.7
kernel k-groups $\rho_{1/2}$,300,0.81
kernel k-groups $\widetilde{\rho}_{1}$,300,0.896666666667
k-means,310,0.735483870968
gmm,310,0.790322580645
spectral clustering $\widetilde{\rho}_1$,310,0.825806451613
kernel k-groups $\rho_{1}$,310,0.783870967742
kernel k-groups $\rho_{1/2}$,310,0.8
kernel k-groups $\widetilde{\rho}_{1}$,310,0.861290322581
k-means,320,0.7125
gmm,320,0.73125
spectral clustering $\widetilde{\rho}_1$,320,0.859375
kernel k-groups $\rho_{1}$,320,0.809375
kernel k-groups $\rho_{1/2}$,320,0.828125
kernel k-groups $\widetilde{\rho}_{1}$,320,0.878125
k-means,330,0.60303030303
gmm,330,0.724242424242
spectral clustering $\widetilde{\rho}_1$,330,0.806060606061
kernel k-groups $\rho_{1}$,330,0.80303030303
kernel k-groups $\rho_{1/2}$,330,0.815151515152
kernel k-groups $\widetilde{\rho}_{1}$,330,0.890909090909
k-means,340,0.75
gmm,340,0.755882352941
spectral clustering $\widetilde{\rho}_1$,340,0.847058823529
kernel k-groups $\rho_{1}$,340,0.785294117647
kernel k-groups $\rho_{1/2}$,340,0.832352941176
kernel k-groups $\widetilde{\rho}_{1}$,340,0.867647058824
k-means,350,0.714285714286
gmm,350,0.8
spectral clustering $\widetilde{\rho}_1$,350,0.825714285714
kernel k-groups $\rho_{1}$,350,0.76
kernel k-groups $\rho_{1/2}$,350,0.834285714286
kernel k-groups $\widetilde{\rho}_{1}$,350,0.874285714286
k-means,360,0.711111111111
gmm,360,0.608333333333
spectral clustering $\widetilde{\rho}_1$,360,0.852777777778
kernel k-groups $\rho_{1}$,360,0.772222222222
kernel k-groups $\rho_{1/2}$,360,0.786111111111
kernel k-groups $\widetilde{\rho}_{1}$,360,0.886111111111
k-means,370,0.732432432432
gmm,370,0.818918918919
spectral clustering $\widetilde{\rho}_1$,370,0.878378378378
kernel k-groups $\rho_{1}$,370,0.818918918919
kernel k-groups $\rho_{1/2}$,370,0.824324324324
kernel k-groups $\widetilde{\rho}_{1}$,370,0.897297297297
k-means,380,0.642105263158
gmm,380,0.776315789474
spectral clustering $\widetilde{\rho}_1$,380,0.863157894737
kernel k-groups $\rho_{1}$,380,0.802631578947
kernel k-groups $\rho_{1/2}$,380,0.821052631579
kernel k-groups $\widetilde{\rho}_{1}$,380,0.907894736842
k-means,390,0.712820512821
gmm,390,0.748717948718
spectral clustering $\widetilde{\rho}_1$,390,0.871794871795
kernel k-groups $\rho_{1}$,390,0.753846153846
kernel k-groups $\rho_{1/2}$,390,0.807692307692
kernel k-groups $\widetilde{\rho}_{1}$,390,0.889743589744
k-means,400,0.69
gmm,400,0.785
spectral clustering $\widetilde{\rho}_1$,400,0.8025
kernel k-groups $\rho_{1}$,400,0.7475
kernel k-groups $\rho_{1/2}$,400,0.795
kernel k-groups $\widetilde{\rho}_{1}$,400,0.8425
k-means,10,0.6
gmm,10,0.9
spectral clustering $\widetilde{\rho}_1$,10,0.8
kernel k-groups $\rho_{1}$,10,0.6
kernel k-groups $\rho_{1/2}$,10,0.7
kernel k-groups $\widetilde{\rho}_{1}$,10,0.9
k-means,20,0.55
gmm,20,0.5
spectral clustering $\widetilde{\rho}_1$,20,0.65
kernel k-groups $\rho_{1}$,20,0.6
kernel k-groups $\rho_{1/2}$,20,0.6
kernel k-groups $\widetilde{\rho}_{1}$,20,0.6
k-means,30,0.5
gmm,30,0.5
spectral clustering $\widetilde{\rho}_1$,30,0.733333333333
kernel k-groups $\rho_{1}$,30,0.566666666667
kernel k-groups $\rho_{1/2}$,30,0.6
kernel k-groups $\widetilde{\rho}_{1}$,30,0.733333333333
k-means,40,0.75
gmm,40,0.65
spectral clustering $\widetilde{\rho}_1$,40,0.625
kernel k-groups $\rho_{1}$,40,0.85
kernel k-groups $\rho_{1/2}$,40,0.85
kernel k-groups $\widetilde{\rho}_{1}$,40,0.9
k-means,50,0.62
gmm,50,0.54
spectral clustering $\widetilde{\rho}_1$,50,0.76
kernel k-groups $\rho_{1}$,50,0.72
kernel k-groups $\rho_{1/2}$,50,0.74
kernel k-groups $\widetilde{\rho}_{1}$,50,0.82
k-means,60,0.766666666667
gmm,60,0.55
spectral clustering $\widetilde{\rho}_1$,60,0.583333333333
kernel k-groups $\rho_{1}$,60,0.766666666667
kernel k-groups $\rho_{1/2}$,60,0.766666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.883333333333
k-means,70,0.628571428571
gmm,70,0.685714285714
spectral clustering $\widetilde{\rho}_1$,70,0.628571428571
kernel k-groups $\rho_{1}$,70,0.657142857143
kernel k-groups $\rho_{1/2}$,70,0.714285714286
kernel k-groups $\widetilde{\rho}_{1}$,70,0.7
k-means,80,0.725
gmm,80,0.5375
spectral clustering $\widetilde{\rho}_1$,80,0.7875
kernel k-groups $\rho_{1}$,80,0.7875
kernel k-groups $\rho_{1/2}$,80,0.8
kernel k-groups $\widetilde{\rho}_{1}$,80,0.8875
k-means,90,0.666666666667
gmm,90,0.622222222222
spectral clustering $\widetilde{\rho}_1$,90,0.644444444444
kernel k-groups $\rho_{1}$,90,0.733333333333
kernel k-groups $\rho_{1/2}$,90,0.733333333333
kernel k-groups $\widetilde{\rho}_{1}$,90,0.855555555556
k-means,100,0.57
gmm,100,0.51
spectral clustering $\widetilde{\rho}_1$,100,0.73
kernel k-groups $\rho_{1}$,100,0.55
kernel k-groups $\rho_{1/2}$,100,0.6
kernel k-groups $\widetilde{\rho}_{1}$,100,0.73
k-means,110,0.727272727273
gmm,110,0.527272727273
spectral clustering $\widetilde{\rho}_1$,110,0.818181818182
kernel k-groups $\rho_{1}$,110,0.727272727273
kernel k-groups $\rho_{1/2}$,110,0.727272727273
kernel k-groups $\widetilde{\rho}_{1}$,110,0.854545454545
k-means,120,0.666666666667
gmm,120,0.725
spectral clustering $\widetilde{\rho}_1$,120,0.783333333333
kernel k-groups $\rho_{1}$,120,0.775
kernel k-groups $\rho_{1/2}$,120,0.758333333333
kernel k-groups $\widetilde{\rho}_{1}$,120,0.908333333333
k-means,130,0.638461538462
gmm,130,0.561538461538
spectral clustering $\widetilde{\rho}_1$,130,0.553846153846
kernel k-groups $\rho_{1}$,130,0.623076923077
kernel k-groups $\rho_{1/2}$,130,0.638461538462
kernel k-groups $\widetilde{\rho}_{1}$,130,0.830769230769
k-means,140,0.607142857143
gmm,140,0.535714285714
spectral clustering $\widetilde{\rho}_1$,140,0.735714285714
kernel k-groups $\rho_{1}$,140,0.678571428571
kernel k-groups $\rho_{1/2}$,140,0.507142857143
kernel k-groups $\widetilde{\rho}_{1}$,140,0.857142857143
k-means,150,0.62
gmm,150,0.593333333333
spectral clustering $\widetilde{\rho}_1$,150,0.713333333333
kernel k-groups $\rho_{1}$,150,0.626666666667
kernel k-groups $\rho_{1/2}$,150,0.646666666667
kernel k-groups $\widetilde{\rho}_{1}$,150,0.86
k-means,160,0.6125
gmm,160,0.68125
spectral clustering $\widetilde{\rho}_1$,160,0.74375
kernel k-groups $\rho_{1}$,160,0.625
kernel k-groups $\rho_{1/2}$,160,0.6125
kernel k-groups $\widetilde{\rho}_{1}$,160,0.875
k-means,170,0.670588235294
gmm,170,0.752941176471
spectral clustering $\widetilde{\rho}_1$,170,0.782352941176
kernel k-groups $\rho_{1}$,170,0.729411764706
kernel k-groups $\rho_{1/2}$,170,0.752941176471
kernel k-groups $\widetilde{\rho}_{1}$,170,0.864705882353
k-means,180,0.583333333333
gmm,180,0.6
spectral clustering $\widetilde{\rho}_1$,180,0.755555555556
kernel k-groups $\rho_{1}$,180,0.616666666667
kernel k-groups $\rho_{1/2}$,180,0.694444444444
kernel k-groups $\widetilde{\rho}_{1}$,180,0.838888888889
k-means,190,0.505263157895
gmm,190,0.657894736842
spectral clustering $\widetilde{\rho}_1$,190,0.705263157895
kernel k-groups $\rho_{1}$,190,0.726315789474
kernel k-groups $\rho_{1/2}$,190,0.789473684211
kernel k-groups $\widetilde{\rho}_{1}$,190,0.878947368421
k-means,200,0.665
gmm,200,0.665
spectral clustering $\widetilde{\rho}_1$,200,0.745
kernel k-groups $\rho_{1}$,200,0.72
kernel k-groups $\rho_{1/2}$,200,0.79
kernel k-groups $\widetilde{\rho}_{1}$,200,0.86
k-means,210,0.561904761905
gmm,210,0.719047619048
spectral clustering $\widetilde{\rho}_1$,210,0.733333333333
kernel k-groups $\rho_{1}$,210,0.833333333333
kernel k-groups $\rho_{1/2}$,210,0.847619047619
kernel k-groups $\widetilde{\rho}_{1}$,210,0.828571428571
k-means,220,0.581818181818
gmm,220,0.65
spectral clustering $\widetilde{\rho}_1$,220,0.827272727273
kernel k-groups $\rho_{1}$,220,0.772727272727
kernel k-groups $\rho_{1/2}$,220,0.8
kernel k-groups $\widetilde{\rho}_{1}$,220,0.904545454545
k-means,230,0.660869565217
gmm,230,0.673913043478
spectral clustering $\widetilde{\rho}_1$,230,0.839130434783
kernel k-groups $\rho_{1}$,230,0.765217391304
kernel k-groups $\rho_{1/2}$,230,0.786956521739
kernel k-groups $\widetilde{\rho}_{1}$,230,0.917391304348
k-means,240,0.6375
gmm,240,0.658333333333
spectral clustering $\widetilde{\rho}_1$,240,0.841666666667
kernel k-groups $\rho_{1}$,240,0.645833333333
kernel k-groups $\rho_{1/2}$,240,0.754166666667
kernel k-groups $\widetilde{\rho}_{1}$,240,0.895833333333
k-means,250,0.724
gmm,250,0.772
spectral clustering $\widetilde{\rho}_1$,250,0.844
kernel k-groups $\rho_{1}$,250,0.808
kernel k-groups $\rho_{1/2}$,250,0.832
kernel k-groups $\widetilde{\rho}_{1}$,250,0.864
k-means,260,0.657692307692
gmm,260,0.692307692308
spectral clustering $\widetilde{\rho}_1$,260,0.796153846154
kernel k-groups $\rho_{1}$,260,0.730769230769
kernel k-groups $\rho_{1/2}$,260,0.776923076923
kernel k-groups $\widetilde{\rho}_{1}$,260,0.869230769231
k-means,270,0.540740740741
gmm,270,0.57037037037
spectral clustering $\widetilde{\rho}_1$,270,0.748148148148
kernel k-groups $\rho_{1}$,270,0.744444444444
kernel k-groups $\rho_{1/2}$,270,0.762962962963
kernel k-groups $\widetilde{\rho}_{1}$,270,0.837037037037
k-means,280,0.717857142857
gmm,280,0.689285714286
spectral clustering $\widetilde{\rho}_1$,280,0.839285714286
kernel k-groups $\rho_{1}$,280,0.739285714286
kernel k-groups $\rho_{1/2}$,280,0.775
kernel k-groups $\widetilde{\rho}_{1}$,280,0.871428571429
k-means,290,0.596551724138
gmm,290,0.724137931034
spectral clustering $\widetilde{\rho}_1$,290,0.803448275862
kernel k-groups $\rho_{1}$,290,0.727586206897
kernel k-groups $\rho_{1/2}$,290,0.762068965517
kernel k-groups $\widetilde{\rho}_{1}$,290,0.855172413793
k-means,300,0.69
gmm,300,0.516666666667
spectral clustering $\widetilde{\rho}_1$,300,0.77
kernel k-groups $\rho_{1}$,300,0.803333333333
kernel k-groups $\rho_{1/2}$,300,0.783333333333
kernel k-groups $\widetilde{\rho}_{1}$,300,0.873333333333
k-means,310,0.654838709677
gmm,310,0.667741935484
spectral clustering $\widetilde{\rho}_1$,310,0.787096774194
kernel k-groups $\rho_{1}$,310,0.71935483871
kernel k-groups $\rho_{1/2}$,310,0.767741935484
kernel k-groups $\widetilde{\rho}_{1}$,310,0.883870967742
k-means,320,0.765625
gmm,320,0.746875
spectral clustering $\widetilde{\rho}_1$,320,0.84375
kernel k-groups $\rho_{1}$,320,0.778125
kernel k-groups $\rho_{1/2}$,320,0.8
kernel k-groups $\widetilde{\rho}_{1}$,320,0.86875
k-means,330,0.763636363636
gmm,330,0.715151515152
spectral clustering $\widetilde{\rho}_1$,330,0.79696969697
kernel k-groups $\rho_{1}$,330,0.790909090909
kernel k-groups $\rho_{1/2}$,330,0.827272727273
kernel k-groups $\widetilde{\rho}_{1}$,330,0.866666666667
k-means,340,0.694117647059
gmm,340,0.691176470588
spectral clustering $\widetilde{\rho}_1$,340,0.832352941176
kernel k-groups $\rho_{1}$,340,0.767647058824
kernel k-groups $\rho_{1/2}$,340,0.782352941176
kernel k-groups $\widetilde{\rho}_{1}$,340,0.885294117647
k-means,350,0.711428571429
gmm,350,0.774285714286
spectral clustering $\widetilde{\rho}_1$,350,0.874285714286
kernel k-groups $\rho_{1}$,350,0.811428571429
kernel k-groups $\rho_{1/2}$,350,0.834285714286
kernel k-groups $\widetilde{\rho}_{1}$,350,0.9
k-means,360,0.733333333333
gmm,360,0.780555555556
spectral clustering $\widetilde{\rho}_1$,360,0.838888888889
kernel k-groups $\rho_{1}$,360,0.802777777778
kernel k-groups $\rho_{1/2}$,360,0.819444444444
kernel k-groups $\widetilde{\rho}_{1}$,360,0.880555555556
k-means,370,0.708108108108
gmm,370,0.724324324324
spectral clustering $\widetilde{\rho}_1$,370,0.824324324324
kernel k-groups $\rho_{1}$,370,0.759459459459
kernel k-groups $\rho_{1/2}$,370,0.789189189189
kernel k-groups $\widetilde{\rho}_{1}$,370,0.856756756757
k-means,380,0.668421052632
gmm,380,0.689473684211
spectral clustering $\widetilde{\rho}_1$,380,0.831578947368
kernel k-groups $\rho_{1}$,380,0.763157894737
kernel k-groups $\rho_{1/2}$,380,0.792105263158
kernel k-groups $\widetilde{\rho}_{1}$,380,0.889473684211
k-means,390,0.7
gmm,390,0.694871794872
spectral clustering $\widetilde{\rho}_1$,390,0.823076923077
kernel k-groups $\rho_{1}$,390,0.725641025641
kernel k-groups $\rho_{1/2}$,390,0.789743589744
kernel k-groups $\widetilde{\rho}_{1}$,390,0.874358974359
k-means,400,0.66
gmm,400,0.7275
spectral clustering $\widetilde{\rho}_1$,400,0.845
kernel k-groups $\rho_{1}$,400,0.7025
kernel k-groups $\rho_{1/2}$,400,0.7475
kernel k-groups $\widetilde{\rho}_{1}$,400,0.885
k-means,10,0.7
gmm,10,0.8
spectral clustering $\widetilde{\rho}_1$,10,0.7
kernel k-groups $\rho_{1}$,10,0.8
kernel k-groups $\rho_{1/2}$,10,0.8
kernel k-groups $\widetilde{\rho}_{1}$,10,1.0
k-means,20,0.5
gmm,20,0.6
spectral clustering $\widetilde{\rho}_1$,20,0.6
kernel k-groups $\rho_{1}$,20,0.65
kernel k-groups $\rho_{1/2}$,20,0.65
kernel k-groups $\widetilde{\rho}_{1}$,20,0.6
k-means,30,0.566666666667
gmm,30,0.533333333333
spectral clustering $\widetilde{\rho}_1$,30,0.566666666667
kernel k-groups $\rho_{1}$,30,0.6
kernel k-groups $\rho_{1/2}$,30,0.6
kernel k-groups $\widetilde{\rho}_{1}$,30,0.666666666667
k-means,40,0.625
gmm,40,0.75
spectral clustering $\widetilde{\rho}_1$,40,0.6
kernel k-groups $\rho_{1}$,40,0.775
kernel k-groups $\rho_{1/2}$,40,0.775
kernel k-groups $\widetilde{\rho}_{1}$,40,0.775
k-means,50,0.62
gmm,50,0.7
spectral clustering $\widetilde{\rho}_1$,50,0.66
kernel k-groups $\rho_{1}$,50,0.58
kernel k-groups $\rho_{1/2}$,50,0.58
kernel k-groups $\widetilde{\rho}_{1}$,50,0.96
k-means,60,0.633333333333
gmm,60,0.55
spectral clustering $\widetilde{\rho}_1$,60,0.933333333333
kernel k-groups $\rho_{1}$,60,0.716666666667
kernel k-groups $\rho_{1/2}$,60,0.85
kernel k-groups $\widetilde{\rho}_{1}$,60,0.95
k-means,70,0.542857142857
gmm,70,0.6
spectral clustering $\widetilde{\rho}_1$,70,0.542857142857
kernel k-groups $\rho_{1}$,70,0.528571428571
kernel k-groups $\rho_{1/2}$,70,0.757142857143
kernel k-groups $\widetilde{\rho}_{1}$,70,0.814285714286
k-means,80,0.6875
gmm,80,0.5375
spectral clustering $\widetilde{\rho}_1$,80,0.6875
kernel k-groups $\rho_{1}$,80,0.6875
kernel k-groups $\rho_{1/2}$,80,0.75
kernel k-groups $\widetilde{\rho}_{1}$,80,0.875
k-means,90,0.677777777778
gmm,90,0.644444444444
spectral clustering $\widetilde{\rho}_1$,90,0.566666666667
kernel k-groups $\rho_{1}$,90,0.655555555556
kernel k-groups $\rho_{1/2}$,90,0.744444444444
kernel k-groups $\widetilde{\rho}_{1}$,90,0.866666666667
k-means,100,0.52
gmm,100,0.53
spectral clustering $\widetilde{\rho}_1$,100,0.67
kernel k-groups $\rho_{1}$,100,0.56
kernel k-groups $\rho_{1/2}$,100,0.51
kernel k-groups $\widetilde{\rho}_{1}$,100,0.87
k-means,110,0.736363636364
gmm,110,0.745454545455
spectral clustering $\widetilde{\rho}_1$,110,0.836363636364
kernel k-groups $\rho_{1}$,110,0.763636363636
kernel k-groups $\rho_{1/2}$,110,0.8
kernel k-groups $\widetilde{\rho}_{1}$,110,0.854545454545
k-means,120,0.6
gmm,120,0.658333333333
spectral clustering $\widetilde{\rho}_1$,120,0.825
kernel k-groups $\rho_{1}$,120,0.725
kernel k-groups $\rho_{1/2}$,120,0.791666666667
kernel k-groups $\widetilde{\rho}_{1}$,120,0.825
k-means,130,0.538461538462
gmm,130,0.538461538462
spectral clustering $\widetilde{\rho}_1$,130,0.769230769231
kernel k-groups $\rho_{1}$,130,0.723076923077
kernel k-groups $\rho_{1/2}$,130,0.769230769231
kernel k-groups $\widetilde{\rho}_{1}$,130,0.884615384615
k-means,140,0.578571428571
gmm,140,0.664285714286
spectral clustering $\widetilde{\rho}_1$,140,0.742857142857
kernel k-groups $\rho_{1}$,140,0.821428571429
kernel k-groups $\rho_{1/2}$,140,0.828571428571
kernel k-groups $\widetilde{\rho}_{1}$,140,0.842857142857
k-means,150,0.673333333333
gmm,150,0.78
spectral clustering $\widetilde{\rho}_1$,150,0.633333333333
kernel k-groups $\rho_{1}$,150,0.646666666667
kernel k-groups $\rho_{1/2}$,150,0.68
kernel k-groups $\widetilde{\rho}_{1}$,150,0.88
k-means,160,0.60625
gmm,160,0.6
spectral clustering $\widetilde{\rho}_1$,160,0.7375
kernel k-groups $\rho_{1}$,160,0.75
kernel k-groups $\rho_{1/2}$,160,0.75
kernel k-groups $\widetilde{\rho}_{1}$,160,0.89375
k-means,170,0.5
gmm,170,0.558823529412
spectral clustering $\widetilde{\rho}_1$,170,0.776470588235
kernel k-groups $\rho_{1}$,170,0.523529411765
kernel k-groups $\rho_{1/2}$,170,0.505882352941
kernel k-groups $\widetilde{\rho}_{1}$,170,0.876470588235
k-means,180,0.694444444444
gmm,180,0.638888888889
spectral clustering $\widetilde{\rho}_1$,180,0.844444444444
kernel k-groups $\rho_{1}$,180,0.783333333333
kernel k-groups $\rho_{1/2}$,180,0.794444444444
kernel k-groups $\widetilde{\rho}_{1}$,180,0.894444444444
k-means,190,0.673684210526
gmm,190,0.694736842105
spectral clustering $\widetilde{\rho}_1$,190,0.805263157895
kernel k-groups $\rho_{1}$,190,0.710526315789
kernel k-groups $\rho_{1/2}$,190,0.778947368421
kernel k-groups $\widetilde{\rho}_{1}$,190,0.868421052632
k-means,200,0.59
gmm,200,0.57
spectral clustering $\widetilde{\rho}_1$,200,0.645
kernel k-groups $\rho_{1}$,200,0.505
kernel k-groups $\rho_{1/2}$,200,0.655
kernel k-groups $\widetilde{\rho}_{1}$,200,0.865
k-means,210,0.819047619048
gmm,210,0.795238095238
spectral clustering $\widetilde{\rho}_1$,210,0.871428571429
kernel k-groups $\rho_{1}$,210,0.847619047619
kernel k-groups $\rho_{1/2}$,210,0.861904761905
kernel k-groups $\widetilde{\rho}_{1}$,210,0.904761904762
k-means,220,0.631818181818
gmm,220,0.65
spectral clustering $\widetilde{\rho}_1$,220,0.522727272727
kernel k-groups $\rho_{1}$,220,0.659090909091
kernel k-groups $\rho_{1/2}$,220,0.690909090909
kernel k-groups $\widetilde{\rho}_{1}$,220,0.85
k-means,230,0.6
gmm,230,0.652173913043
spectral clustering $\widetilde{\rho}_1$,230,0.752173913043
