method,points,accuracy
k-means,10,0.6
gmm,10,0.6
spectral clustering $\widetilde{\rho}_1$,10,0.9
kernel k-groups $\rho_{1}$,10,0.5
kernel k-groups $\rho_{1/2}$,10,0.7
kernel k-groups $\widetilde{\rho}_{1}$,10,0.5
k-means,20,0.6
gmm,20,0.7
spectral clustering $\widetilde{\rho}_1$,20,0.75
kernel k-groups $\rho_{1}$,20,0.75
kernel k-groups $\rho_{1/2}$,20,0.75
kernel k-groups $\widetilde{\rho}_{1}$,20,0.85
k-means,30,0.6
gmm,30,0.566666666667
spectral clustering $\widetilde{\rho}_1$,30,0.633333333333
kernel k-groups $\rho_{1}$,30,0.6
kernel k-groups $\rho_{1/2}$,30,0.6
kernel k-groups $\widetilde{\rho}_{1}$,30,0.7
k-means,40,0.65
gmm,40,0.575
spectral clustering $\widetilde{\rho}_1$,40,0.725
kernel k-groups $\rho_{1}$,40,0.675
kernel k-groups $\rho_{1/2}$,40,0.65
kernel k-groups $\widetilde{\rho}_{1}$,40,0.8
k-means,50,0.72
gmm,50,0.6
spectral clustering $\widetilde{\rho}_1$,50,0.66
kernel k-groups $\rho_{1}$,50,0.74
kernel k-groups $\rho_{1/2}$,50,0.74
kernel k-groups $\widetilde{\rho}_{1}$,50,0.74
k-means,60,0.616666666667
gmm,60,0.5
spectral clustering $\widetilde{\rho}_1$,60,0.7
kernel k-groups $\rho_{1}$,60,0.5
kernel k-groups $\rho_{1/2}$,60,0.6
kernel k-groups $\widetilde{\rho}_{1}$,60,0.85
k-means,70,0.514285714286
gmm,70,0.514285714286
spectral clustering $\widetilde{\rho}_1$,70,0.714285714286
kernel k-groups $\rho_{1}$,70,0.5
kernel k-groups $\rho_{1/2}$,70,0.585714285714
kernel k-groups $\widetilde{\rho}_{1}$,70,0.757142857143
k-means,80,0.65
gmm,80,0.65
spectral clustering $\widetilde{\rho}_1$,80,0.5875
kernel k-groups $\rho_{1}$,80,0.575
kernel k-groups $\rho_{1/2}$,80,0.825
kernel k-groups $\widetilde{\rho}_{1}$,80,0.9125
k-means,90,0.533333333333
gmm,90,0.533333333333
spectral clustering $\widetilde{\rho}_1$,90,0.722222222222
kernel k-groups $\rho_{1}$,90,0.611111111111
kernel k-groups $\rho_{1/2}$,90,0.677777777778
kernel k-groups $\widetilde{\rho}_{1}$,90,0.844444444444
k-means,100,0.53
gmm,100,0.65
spectral clustering $\widetilde{\rho}_1$,100,0.71
